"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"HOU","3","AL",158,"98","60",".620","3","5.5","4.3","1.2","0.0","1.2","96-62",2,"15-5","48-33","50-27","4-4","17-13","78-37","20-23","15-14","83-46","8-2","13-7","20-10","3.5","32-15","66-45","93-55","5-5","98-60",0.013,0.19,0.681,0.0610000000000001,0.595,-0.025,0.75,0.13,0.593,-0.027,0.649,0.029,0.5,-0.12,0.567,-0.053,0.678,0.0580000000000001,0.465,-0.155,0.517,-0.103,0.643,0.023,0.8,0.18,0.65,0.03,0.667,0.047,0.628,0.00800000000000001,0.5,-0.12
"KCR","14","AL",158,"78","80",".494","2","4.4","4.9","-0.5","0.2","-0.3","72-86",6,"7-10","41-36","37-44","4-7","23-16","60-59","18-21","27-41","51-39","5-5","9-11","14-16","23.5","27-26","51-54","73-78","5-2","71-87",0.038,0.247,0.509,0.015,0.486,-0.00800000000000001,0.412,-0.082,0.532,0.038,0.457,-0.037,0.364,-0.13,0.59,0.096,0.504,0.01,0.462,-0.032,0.397,-0.097,0.567,0.073,0.5,0.00600000000000001,0.45,-0.044,0.467,-0.027,0.483,-0.011,0.714,0.22
"LAA","13","AL",158,"78","80",".494","-1","4.4","4.4","0.0","0.1","0.1","79-79",-1,"11-9","41-37","37-43","8-7","26-21","56-57","22-23","21-31","57-49","2-8","7-13","13-17","23.5","18-24","60-56","74-77","4-3","79-79",-0.006,0.297,0.429,-0.065,0.517,0.023,0.55,0.056,0.526,0.032,0.462,-0.032,0.533,0.039,0.553,0.0590000000000001,0.496,0.002,0.489,-0.005,0.404,-0.09,0.538,0.044,0.2,-0.294,0.35,-0.144,0.433,-0.061,0.49,-0.004,0.571,0.077
"LAD","1","NL",159,"102","57",".641","4","4.8","3.6","1.2","-0.3","0.9","100-59",2,"16-4","57-24","45-33","8-4","25-19","70-42","32-15","34-32","68-25","6-4","10-10","11-19","0","30-14","72-43","102-57","0-0","102-57",0.013,0.277,0.682,0.041,0.626,-0.015,0.8,0.159,0.704,0.0629999999999999,0.577,-0.0640000000000001,0.667,0.026,0.568,-0.0730000000000001,0.625,-0.016,0.681,0.04,0.515,-0.126,0.731,0.09,0.6,-0.041,0.5,-0.141,0.367,-0.274,0.642,0.001,NA,NA
"MIA","20","NL",158,"74","84",".468","-2","4.7","5.1","-0.4","-0.2","-0.5","74-84",0,"9-11","40-37","34-47","6-5","17-22","62-64","12-20","22-40","52-44","5-5","7-13","9-21","27.5","23-24","51-60","73-83","1-1","73-85",0,0.247,0.489,0.021,0.459,-0.00900000000000001,0.45,-0.018,0.519,0.051,0.42,-0.048,0.545,0.077,0.436,-0.032,0.492,0.024,0.375,-0.093,0.355,-0.113,0.542,0.074,0.5,0.032,0.35,-0.118,0.3,-0.168,0.468,0,0.5,0.032
"MIL","11","NL",158,"83","75",".525","-1","4.5","4.3","0.2","-0.1","0.1","82-76",1,"11-9","43-37","40-38","5-11","24-21","66-58","17-17","35-37","48-38","5-5","11-9","17-13","18.5","30-29","53-46","79-74","4-1","82-76",0.006,0.285,0.508,-0.017,0.535,0.01,0.55,0.025,0.538,0.013,0.513,-0.012,0.312,-0.213,0.533,0.00800000000000001,0.532,0.00700000000000001,0.5,-0.025,0.486,-0.039,0.558,0.033,0.5,-0.025,0.55,0.025,0.567,0.0419999999999999,0.516,-0.00900000000000001,0.8,0.275
"MIN","10","AL",158,"83","75",".525","-1","5.1","4.9","0.2","0.1","0.2","81-77",2,"13-7","39-39","44-36","3-3","15-17","58-52","25-23","20-30","63-45","6-4","12-8","17-13","18.5","27-33","56-42","80-72","3-3","81-77",0.013,0.203,0.45,-0.075,0.571,0.0459999999999999,0.65,0.125,0.5,-0.025,0.55,0.025,0.5,-0.025,0.469,-0.056,0.527,0.002,0.521,-0.004,0.4,-0.125,0.583,0.0579999999999999,0.6,0.075,0.6,0.075,0.567,0.0419999999999999,0.526,0.001,0.5,-0.025
"NYM","25","NL",159,"69","90",".434","3","4.6","5.3","-0.7","-0.1","-0.9","69-90",0,"7-13","37-44","32-46","2-8","21-24","54-67","15-23","17-49","52-41","4-6","9-11","12-18","33","15-32","54-58","69-90","0-0","68-91",0,0.283,0.319,-0.115,0.482,0.048,0.35,-0.084,0.457,0.023,0.41,-0.024,0.2,-0.234,0.467,0.033,0.446,0.012,0.395,-0.039,0.258,-0.176,0.559,0.125,0.4,-0.034,0.45,0.016,0.4,-0.034,0.434,0,NA,NA
"NYY","8","AL",158,"89","69",".563","3","5.3","4.1","1.2","0.1","1.3","98-60",-9,"15-5","49-28","40-41","5-6","17-25","65-47","24-22","26-22","63-47","7-3","15-5","20-10","12.5","33-26","56-43","83-59","6-10","99-59",-0.057,0.266,0.559,-0.00399999999999989,0.566,0.003,0.75,0.187,0.636,0.0730000000000001,0.494,-0.069,0.455,-0.108,0.405,-0.158,0.58,0.017,0.522,-0.0409999999999999,0.542,-0.0209999999999999,0.573,0.01,0.7,0.137,0.75,0.187,0.667,0.104,0.585,0.022,0.375,-0.188
"OAK","22","AL",158,"73","85",".462","1","4.6","5.1","-0.6","0.2","-0.4","71-87",2,"7-13","46-35","27-50","4-9","21-21","55-60","18-25","24-25","49-60","8-2","15-5","17-13","28.5","34-27","39-58","72-78","1-7","70-88",0.013,0.266,0.557,0.095,0.402,-0.06,0.35,-0.112,0.568,0.106,0.351,-0.111,0.308,-0.154,0.5,0.038,0.478,0.016,0.419,-0.043,0.49,0.028,0.45,-0.012,0.8,0.338,0.75,0.288,0.567,0.105,0.48,0.018,0.125,-0.337
"PHI","28","NL",159,"64","95",".403","2","4.2","4.9","-0.7","-0.1","-0.8","69-90",-5,"5-15","37-41","27-54","7-9","21-36","40-74","24-21","23-43","41-52","6-4","11-9","16-14","38","26-30","38-65","64-95","0-0","68-91",-0.031,0.358,0.464,0.061,0.369,-0.034,0.25,-0.153,0.474,0.071,0.333,-0.07,0.438,0.035,0.368,-0.035,0.351,-0.052,0.533,0.13,0.348,-0.055,0.441,0.038,0.6,0.197,0.55,0.147,0.533,0.13,0.403,0,NA,NA
"PIT","21","NL",158,"73","85",".462","4","4.1","4.5","-0.4","-0.1","-0.5","72-86",1,"10-10","44-37","29-48","8-9","20-23","57-61","16-24","38-48","35-37","5-5","7-13","12-18","28.5","28-22","45-63","72-83","1-2","72-86",0.006,0.272,0.56,0.098,0.417,-0.045,0.5,0.038,0.543,0.081,0.377,-0.085,0.471,0.00899999999999995,0.465,0.003,0.483,0.021,0.4,-0.062,0.442,-0.02,0.486,0.024,0.5,0.038,0.35,-0.112,0.4,-0.062,0.465,0.003,0.333,-0.129
"SDP","24","NL",159,"70","89",".440","-4","3.8","5.0","-1.3","0.0","-1.3","59-100",11,"8-12","43-38","27-51","4-7","18-18","51-62","19-27","35-56","35-33","4-6","8-12","13-17","32","18-31","52-58","70-89","0-0","57-102",0.069,0.226,0.367,-0.073,0.473,0.033,0.4,-0.04,0.531,0.091,0.346,-0.094,0.364,-0.076,0.5,0.06,0.451,0.011,0.413,-0.027,0.385,-0.055,0.515,0.075,0.4,-0.04,0.4,-0.04,0.433,-0.00700000000000001,0.44,0,NA,NA
"SEA","15","AL",159,"77","82",".484","-1","4.6","4.8","-0.1","0.1","0.0","78-81",-1,"12-8","40-41","37-41","7-5","26-14","55-60","22-22","20-32","57-50","3-7","8-12","11-19","25","22-30","55-52","75-77","2-5","77-82",-0.006,0.252,0.423,-0.061,0.514,0.03,0.6,0.116,0.494,0.01,0.474,-0.01,0.583,0.099,0.65,0.166,0.478,-0.00600000000000001,0.5,0.016,0.385,-0.099,0.533,0.049,0.3,-0.184,0.4,-0.084,0.367,-0.117,0.493,0.00900000000000001,0.286,-0.198
"SFG","30","NL",159,"62","97",".390","-2","3.9","4.8","-0.9","0.0","-0.9","64-95",-2,"8-12","36-42","26-55","12-7","22-23","44-67","18-30","36-54","26-43","5-5","8-12","10-20","40","21-34","41-63","62-97","0-0","63-96",-0.013,0.283,0.382,-0.00800000000000001,0.394,0.004,0.4,0.01,0.462,0.072,0.321,-0.069,0.632,0.242,0.489,0.099,0.396,0.00600000000000001,0.375,-0.015,0.4,0.01,0.377,-0.013,0.5,0.11,0.4,0.01,0.333,-0.057,0.39,0,NA,NA
"STL","12","NL",158,"82","76",".519","-1","4.7","4.3","0.4","-0.1","0.3","85-73",-3,"8-12","43-34","39-42","5-8","23-28","63-60","19-16","26-41","56-35","5-5","11-9","18-12","19.5","25-27","57-49","82-76","0-0","86-72",-0.019,0.323,0.481,-0.038,0.538,0.019,0.4,-0.119,0.558,0.039,0.481,-0.038,0.385,-0.134,0.451,-0.068,0.512,-0.00700000000000001,0.543,0.024,0.388,-0.131,0.615,0.096,0.5,-0.019,0.55,0.031,0.6,0.081,0.519,0,NA,NA
"TBR","16","AL",158,"76","82",".481","-3","4.2","4.4","-0.2","0.2","0.1","76-82",0,"11-9","39-39","37-43","8-6","20-24","58-53","18-29","30-37","46-45","4-6","8-12","14-16","25.5","26-30","50-52","35-39","41-43","76-82",0,0.278,0.464,-0.017,0.49,0.00900000000000001,0.55,0.0690000000000001,0.5,0.019,0.462,-0.019,0.571,0.09,0.455,-0.026,0.523,0.042,0.383,-0.098,0.448,-0.033,0.505,0.024,0.4,-0.081,0.4,-0.081,0.467,-0.014,0.473,-0.00800000000000001,0.488,0.00700000000000001
"TEX","17","AL",158,"76","82",".481","-6","5.0","5.1","-0.1","0.1","0.0","77-81",-1,"14-6","39-38","37-44","5-5","13-24","54-65","22-17","18-30","58-52","4-6","6-14","12-18","25.5","20-22","56-60","70-79","6-3","77-81",-0.006,0.234,0.476,-0.005,0.483,0.002,0.7,0.219,0.506,0.025,0.457,-0.024,0.5,0.019,0.351,-0.13,0.454,-0.027,0.564,0.083,0.375,-0.106,0.527,0.046,0.4,-0.081,0.3,-0.181,0.4,-0.081,0.47,-0.011,0.667,0.186
"TOR","18","AL",159,"75","84",".472","-1","4.3","4.9","-0.5","0.2","-0.3","71-88",4,"9-11","42-39","33-45","5-14","25-26","58-61","17-23","26-39","49-45","5-5","11-9","14-16","27","30-28","45-56","29-39","46-45","70-89",0.025,0.321,0.517,0.045,0.446,-0.026,0.45,-0.022,0.519,0.047,0.423,-0.049,0.263,-0.209,0.49,0.018,0.487,0.015,0.425,-0.047,0.4,-0.072,0.521,0.049,0.5,0.028,0.55,0.0780000000000001,0.467,-0.00499999999999995,0.426,-0.046,0.505,0.033
"WSN","4","NL",158,"95","63",".601","-2","5.1","4.1","0.9","-0.3","0.6","94-64",1,"10-10","45-32","50-31","7-4","29-21","73-49","22-14","23-19","72-44","6-4","11-9","18-12","6.5","27-29","68-34","95-63","0-0","95-63",0.006,0.316,0.482,-0.119,0.667,0.0660000000000001,0.5,-0.101,0.584,-0.017,0.617,0.016,0.636,0.035,0.58,-0.021,0.598,-0.003,0.611,0.01,0.548,-0.0529999999999999,0.621,0.02,0.6,-0.001,0.55,-0.0509999999999999,0.6,-0.001,0.601,0,NA,NA
