"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",159,"92","67",".579","2","5.0","4.1","0.9","-0.2","0.7","94-65",-2,"11-6","52-29","40-38","9-3","29-21","68-50","24-17","39-35","53-32","5-5","11-9","21-9","10","27-21","65-46","92-67","0-0","95-64",-0.013,0.314,0.562,-0.0169999999999999,0.586,0.00700000000000001,0.647,0.0680000000000001,0.642,0.0630000000000001,0.513,-0.0659999999999999,0.75,0.171,0.58,0.001,0.576,-0.003,0.585,0.00600000000000001,0.527,-0.0519999999999999,0.624,0.045,0.5,-0.079,0.55,-0.0289999999999999,0.7,0.121,0.579,0,NA,NA
"ATL","23","NL",158,"71","87",".449","-3","4.5","5.0","-0.5","-0.2","-0.7","72-86",-1,"9-11","37-44","34-43","6-8","19-23","56-73","15-14","25-37","46-50","4-6","10-10","14-16","30.5","21-28","50-59","69-87","2-0","71-87",-0.006,0.266,0.429,-0.02,0.459,0.01,0.45,0.001,0.457,0.00800000000000001,0.442,-0.00700000000000001,0.429,-0.02,0.452,0.003,0.434,-0.015,0.517,0.068,0.403,-0.046,0.479,0.03,0.4,-0.049,0.5,0.051,0.467,0.018,0.442,-0.00700000000000001,1,0.551
"BAL","19","AL",159,"75","84",".472","-2","4.7","5.2","-0.5","0.3","-0.2","72-87",3,"8-12","46-35","29-49","12-4","21-19","49-61","26-23","25-46","50-38","3-7","4-16","11-19","27","23-26","52-58","66-77","9-7","71-88",0.019,0.252,0.469,-0.003,0.473,0.001,0.4,-0.072,0.568,0.096,0.372,-0.1,0.75,0.278,0.525,0.053,0.445,-0.027,0.531,0.0590000000000001,0.352,-0.12,0.568,0.096,0.3,-0.172,0.2,-0.272,0.367,-0.105,0.462,-0.00999999999999995,0.562,0.0900000000000001
"BOS","5","AL",158,"92","66",".582","1","4.9","4.1","0.8","0.1","0.9","92-66",0,"16-4","47-30","45-36","15-3","22-17","74-47","18-19","26-20","66-46","7-3","15-5","19-11","9.5","25-22","67-44","79-61","13-5","93-65",0,0.247,0.532,-0.0499999999999999,0.604,0.022,0.8,0.218,0.61,0.028,0.556,-0.0259999999999999,0.833,0.251,0.564,-0.018,0.612,0.03,0.486,-0.096,0.565,-0.017,0.589,0.00700000000000001,0.7,0.118,0.75,0.168,0.633,0.051,0.564,-0.018,0.722,0.14
"CHC","7","NL",158,"89","69",".563","1","5.1","4.3","0.7","-0.2","0.6","90-68",-1,"12-8","46-32","43-37","6-3","24-17","68-55","21-14","34-35","55-34","7-3","14-6","20-10","12.5","36-35","53-34","88-68","1-1","91-67",-0.006,0.259,0.507,-0.0559999999999999,0.609,0.046,0.6,0.037,0.59,0.027,0.538,-0.0249999999999999,0.667,0.104,0.585,0.022,0.553,-0.0099999999999999,0.6,0.037,0.493,-0.07,0.618,0.055,0.7,0.137,0.7,0.137,0.667,0.104,0.564,0.001,0.5,-0.0629999999999999
"CHW","27","AL",158,"65","93",".411","1","4.4","5.1","-0.7","0.2","-0.5","69-89",-4,"6-14","38-42","27-51","5-5","19-23","45-67","20-26","22-47","43-46","5-5","11-9","14-16","36.5","26-28","39-65","62-90","3-3","68-90",-0.025,0.266,0.481,0.07,0.375,-0.036,0.3,-0.111,0.475,0.064,0.346,-0.065,0.5,0.089,0.452,0.041,0.402,-0.00899999999999995,0.435,0.024,0.319,-0.092,0.483,0.072,0.5,0.089,0.55,0.139,0.467,0.056,0.408,-0.003,0.5,0.089
"CIN","26","NL",158,"67","91",".424","1","4.7","5.4","-0.7","0.0","-0.7","69-89",-2,"5-15","39-42","28-49","3-7","13-20","59-65","8-26","33-57","34-34","3-7","8-12","13-17","34.5","25-33","42-58","66-86","1-5","68-90",-0.013,0.209,0.431,0.00700000000000001,0.42,-0.004,0.25,-0.174,0.481,0.057,0.364,-0.06,0.3,-0.124,0.394,-0.03,0.476,0.052,0.235,-0.189,0.367,-0.057,0.5,0.076,0.3,-0.124,0.4,-0.024,0.433,0.00900000000000001,0.434,0.01,0.167,-0.257
"CLE","2","AL",158,"99","59",".627","1","5.1","3.5","1.5","-0.1","1.5","104-54",-5,"6-14","46-31","53-28","4-2","20-14","63-35","36-24","26-22","73-37","8-2","17-3","27-3","2.5","38-17","61-42","95-56","4-3","106-52",-0.032,0.215,0.691,0.0639999999999999,0.592,-0.035,0.3,-0.327,0.597,-0.03,0.654,0.027,0.667,0.04,0.588,-0.039,0.643,0.016,0.6,-0.027,0.542,-0.085,0.664,0.037,0.8,0.173,0.85,0.223,0.9,0.273,0.629,0.002,0.571,-0.056
"COL","9","NL",159,"86","73",".541","2","5.1","4.7","0.4","-0.2","0.2","85-74",1,"10-10","45-33","41-40","2-3","21-14","59-54","27-19","36-33","50-40","4-6","12-8","16-14","16","35-22","51-51","86-73","0-0","86-73",0.006,0.22,0.614,0.073,0.5,-0.041,0.5,-0.041,0.577,0.0359999999999999,0.506,-0.035,0.4,-0.141,0.6,0.0589999999999999,0.522,-0.019,0.587,0.0459999999999999,0.522,-0.019,0.556,0.015,0.4,-0.141,0.6,0.0589999999999999,0.533,-0.00800000000000001,0.541,0,NA,NA
"DET","29","AL",158,"62","96",".392","-9","4.6","5.6","-1.0","0.2","-0.8","65-93",-3,"8-12","34-47","28-49","1-4","16-23","42-74","20-22","27-38","35-58","1-9","3-17","6-24","39.5","27-30","35-66","61-91","1-5","64-94",-0.019,0.247,0.474,0.082,0.347,-0.045,0.4,0.00800000000000001,0.42,0.028,0.364,-0.028,0.2,-0.192,0.41,0.018,0.362,-0.03,0.476,0.084,0.415,0.023,0.376,-0.016,0.1,-0.292,0.15,-0.242,0.2,-0.192,0.401,0.00900000000000001,0.167,-0.225
