"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"MIN","CLE","Ervin Santana","Carlos Carrasco",37,63
"CIN","MIL","Sal Romano","Brent Suter",41,59
"TBR","NYY","Jake Faria","Sonny Gray",37,63
"PIT","WSN","Ivan Nova","Edwin Jackson",44,56
"HOU","BOS","Brad Peacock","Eduardo Rodriguez",46,54
"ATL","MIA","Julio Teheran","Dillon Peters",48,52
"CHC","STL","Kyle Hendricks","Lance Lynn",54,46
"OAK","TEX","Sean Manaea","Miguel Gonzalez",45,55
"LAA","CHW","Bud Norris","Dylan Covey",57,43
"DET","KCR","Daniel Norris","Danny Duffy",36,64
