"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","159","26","18","3.82","492.1","209","235","187","485",".240",3.05652173913044
"ATL","161","25","18","4.60","522.1","267","288","223","494",".247",3.24285714285714
"BAL","160","30","18","3.86","594.0","255","279","223","504",".252",3.68944099378882
"BOS","156","29","14","3.11","526.0","182","194","177","572",".225",3.26708074534162
"CHC","159","28","22","3.79","553.0","233","249","263","613",".222",3.43478260869565
"CHW","161","29","20","4.30","546.1","261","275","239","511",".242",3.39192546583851
"CIN","159","24","21","4.66","606.0","314","331","279","586",".249",3.7639751552795
"CLE","154","21","22","2.91","485.2","157","175","148","540",".226",3.01366459627329
"COL","160","24","19","4.38","544.2","265","281","205","545",".252",3.38012422360248
"DET","159","17","28","5.63","525.2","329","348","239","460",".283",3.26211180124224
"HOU","160","30","22","4.29","543.1","259","272","213","658",".234",3.37329192546584
"KCR","160","28","24","4.19","565.1","263","289","242","499",".253",3.50993788819876
"LAA","160","36","24","3.90","567.0","246","259","168","599",".240",3.52173913043478
"LAD","159","31","19","3.37","552.2","207","217","180","630",".220",3.42981366459627
"MIA","160","30","29","4.35","608.0","294","315","270","557",".258",3.77639751552795
"MIL","160","27","36","3.85","570.2","244","265","269","612",".240",3.5416149068323
"MIN","155","24","20","4.42","563.2","277","297","187","480",".261",3.49813664596273
"NYM","159","21","27","4.72","563.0","295","313","263","583",".260",3.49689440993789
"NYY","159","29","23","3.35","534.2","199","213","224","648",".205",3.31801242236025
"OAK","160","23","26","4.55","551.1","279","302","204","525",".249",3.42298136645963
"PHI","160","23","34","4.21","546.2","256","273","221","545",".254",3.39254658385093
"PIT","159","26","28","3.86","539.0","231","251","211","488",".248",3.34782608695652
"SDP","159","26","28","4.48","550.0","274","296","203","580",".239",3.41614906832298
"SFG","158","21","25","4.38","489.1","238","256","218","455",".259",3.03788819875776
"SEA","160","31","30","4.00","567.2","252","281","208","546",".243",3.52298136645963
"STL","158","22","29","3.81","527.0","223","241","181","526",".247",3.27329192546584
"TBR","161","28","31","3.84","543.2","232","251","202","506",".236",3.37391304347826
"TEX","159","22","25","4.78","510.0","271","302","225","464",".268",3.16770186335404
"TOR","159","28","26","4.22","592.2","278","300","211","631",".240",3.67826086956522
"WSN","158","25","18","4.36","469.0","227","239","161","437",".253",2.91304347826087
