"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"HOU","BOS","Collin McHugh","Hector Velazquez",54,46
"TOR","NYY","Brett Anderson","Jordan Montgomery",33,67
"NYM","PHI","Noah Syndergaard","Nick Pivetta",56,44
"SDP","SFG","Luis Perdomo","Johnny Cueto",42,58
"OAK","TEX","Daniel Mengden","Cole Hamels",43,57
"PIT","WSN","Steven Brault","Gio Gonzalez",35,65
"SEA","LAA","James Paxton","Parker Bridwell",51,49
"CHW","CLE","Chris Volstad","Josh Tomlin",32,68
"LAD","COL","Ross Stripling","Tyler Anderson",50,50
"ATL","MIA","Max Fried","Jose Urena",41,59
"DET","MIN","Anibal Sanchez","Bartolo Colon",40,60
"BAL","TBR","Kevin Gausman","Blake Snell",47,53
"ARI","KCR","Robbie Ray","Jason Vargas",55,45
"MIL","STL","Aaron Wilkerson","Jack Flaherty",45,55
"CIN","CHC","Deck McGuire","Mike Montgomery",33,67
