"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","7","NL",161,"92","69",".571","-2","5.0","4.1","0.9","-0.2","0.7","95-66",-3,"11-8","52-29","40-40","9-3","29-23","68-52","24-17","39-35","53-34","5-5","10-10","19-11","11","27-22","65-47","92-69","0-0","96-65",-0.019,0.323,0.551,-0.0199999999999999,0.58,0.00900000000000001,0.579,0.00800000000000001,0.642,0.0710000000000001,0.5,-0.071,0.75,0.179,0.558,-0.0129999999999999,0.567,-0.004,0.585,0.014,0.527,-0.0439999999999999,0.609,0.038,0.5,-0.071,0.5,-0.071,0.633,0.0620000000000001,0.571,0,NA,NA
"ATL","23","NL",161,"71","90",".441","-6","4.5","5.1","-0.6","-0.2","-0.8","72-89",-1,"9-11","37-44","34-46","6-8","19-24","56-75","15-15","25-37","46-53","3-7","8-12","12-18","32","21-28","50-62","69-90","2-0","71-90",-0.006,0.267,0.429,-0.012,0.446,0.005,0.45,0.00900000000000001,0.457,0.016,0.425,-0.016,0.429,-0.012,0.442,0.001,0.427,-0.014,0.5,0.059,0.403,-0.038,0.465,0.024,0.3,-0.141,0.4,-0.041,0.4,-0.041,0.434,-0.00700000000000001,1,0.559
"BAL","20","AL",161,"75","86",".466","-4","4.6","5.2","-0.6","0.3","-0.3","72-89",3,"8-12","46-35","29-51","12-4","21-20","49-63","26-23","25-46","50-40","2-8","4-16","9-21","28","23-26","52-60","66-77","9-9","71-90",0.019,0.255,0.469,0.00299999999999995,0.464,-0.002,0.4,-0.066,0.568,0.102,0.362,-0.104,0.75,0.284,0.512,0.046,0.438,-0.028,0.531,0.065,0.352,-0.114,0.556,0.09,0.2,-0.266,0.2,-0.266,0.3,-0.166,0.462,-0.004,0.5,0.034
"BOS","5","AL",161,"93","68",".578","1","4.9","4.1","0.7","0.1","0.9","92-69",1,"16-4","48-32","45-36","15-3","22-18","75-49","18-19","27-22","66-46","6-4","13-7","19-11","10","25-22","68-46","80-63","13-5","94-67",0.006,0.248,0.532,-0.0459999999999999,0.596,0.018,0.8,0.222,0.6,0.022,0.556,-0.0219999999999999,0.833,0.255,0.55,-0.0279999999999999,0.605,0.027,0.486,-0.092,0.551,-0.0269999999999999,0.589,0.011,0.6,0.022,0.65,0.0720000000000001,0.633,0.055,0.559,-0.0189999999999999,0.722,0.144
"CHC","6","NL",161,"92","69",".571","4","5.1","4.3","0.8","-0.2","0.6","93-68",-1,"12-8","48-32","44-37","7-3","26-17","71-55","21-14","35-35","57-34","8-2","15-5","21-9","11","37-35","55-34","91-68","1-1","94-67",-0.006,0.267,0.514,-0.0569999999999999,0.618,0.047,0.6,0.029,0.6,0.029,0.543,-0.0279999999999999,0.7,0.129,0.605,0.034,0.563,-0.00800000000000001,0.6,0.029,0.5,-0.071,0.626,0.055,0.8,0.229,0.75,0.179,0.7,0.129,0.572,0.001,0.5,-0.071
"CHW","26","AL",161,"67","94",".416","1","4.4","5.1","-0.7","0.2","-0.5","70-91",-3,"6-14","39-42","28-52","5-5","21-23","47-68","20-26","23-48","44-46","7-3","12-8","15-15","36","26-28","41-66","64-91","3-3","69-92",-0.019,0.273,0.481,0.065,0.383,-0.033,0.3,-0.116,0.481,0.065,0.35,-0.066,0.5,0.084,0.477,0.061,0.409,-0.00700000000000001,0.435,0.019,0.324,-0.092,0.489,0.073,0.7,0.284,0.6,0.184,0.5,0.084,0.413,-0.003,0.5,0.084
"CIN","27","NL",161,"67","94",".416","-3","4.7","5.4","-0.7","0.0","-0.7","70-91",-3,"5-15","39-42","28-52","3-7","13-22","59-65","8-29","33-60","34-34","1-9","6-14","12-18","36","24-36","43-58","66-89","1-5","69-92",-0.019,0.217,0.4,-0.016,0.426,0.01,0.25,-0.166,0.481,0.065,0.35,-0.066,0.3,-0.116,0.371,-0.045,0.476,0.06,0.216,-0.2,0.355,-0.061,0.5,0.084,0.1,-0.316,0.3,-0.116,0.4,-0.016,0.426,0.01,0.167,-0.249
"CLE","2","AL",161,"101","60",".627","-1","5.1","3.5","1.6","-0.1","1.5","107-54",-6,"6-14","48-32","53-28","4-2","20-15","65-36","36-24","27-22","74-38","7-3","16-4","26-4","2","38-18","63-42","97-57","4-3","109-52",-0.037,0.217,0.679,0.052,0.6,-0.027,0.3,-0.327,0.6,-0.027,0.654,0.027,0.667,0.04,0.571,-0.056,0.644,0.017,0.6,-0.027,0.551,-0.076,0.661,0.034,0.7,0.073,0.8,0.173,0.867,0.24,0.63,0.003,0.571,-0.056
"COL","9","NL",161,"87","74",".540","-1","5.1","4.7","0.4","-0.2","0.3","87-74",0,"10-10","46-34","41-40","2-3","21-14","59-54","28-20","37-34","50-40","5-5","11-9","16-14","16","35-23","52-51","87-74","0-0","88-73",0,0.217,0.603,0.0629999999999999,0.505,-0.035,0.5,-0.04,0.575,0.0349999999999999,0.506,-0.034,0.4,-0.14,0.6,0.0599999999999999,0.522,-0.018,0.583,0.0429999999999999,0.521,-0.019,0.556,0.016,0.5,-0.04,0.55,0.01,0.533,-0.00700000000000001,0.54,0,NA,NA
"DET","29","AL",161,"64","97",".398","1","4.6","5.5","-1.0","0.2","-0.8","67-94",-3,"8-12","34-47","30-50","1-4","17-23","43-75","21-22","28-39","36-58","2-8","4-16","7-23","39","28-29","36-68","63-92","1-5","65-96",-0.019,0.248,0.491,0.093,0.346,-0.052,0.4,0.002,0.42,0.022,0.375,-0.023,0.2,-0.198,0.425,0.027,0.364,-0.034,0.488,0.09,0.418,0.02,0.383,-0.015,0.2,-0.198,0.2,-0.198,0.233,-0.165,0.406,0.00800000000000001,0.167,-0.231
