"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin"
"PIT","WSN","Steven Brault","Gio Gonzalez","Day","Grass",155,-170,"PIT",-3,FALSE
"HOU","BOS","Collin McHugh","Hector Velazquez","Day","Grass",-155,145,"HOU",-1,FALSE
"OAK","TEX","Daniel Mengden","Cole Hamels","Day","Grass",135,-145,"OAK",-3,FALSE
"SDP","SFG","Luis Perdomo","Johnny Cueto","Day","Grass",125,-135,"SFG",1,TRUE
"NYM","PHI","Noah Syndergaard","Nick Pivetta","Day","Grass",110,-120,"PHI",11,TRUE
"TOR","NYY","Brett Anderson","Jordan Montgomery","Day","Grass",145,-155,"TOR",-1,FALSE
"SEA","LAA","James Paxton","Parker Bridwell","Day","Grass",-130,120,"LAA",4,TRUE
"ATL","MIA","Max Fried","Jose Urena","Day","Grass",143,-153,"ATL",-3,FALSE
"LAD","COL","Ross Stripling","Kyle Freeland","Day","Grass",-140,130,"LAD",-3,FALSE
"CHW","CLE","Chris Volstad","Josh Tomlin","Day","Grass",170,-190,"CLE",2,TRUE
"BAL","TBR","Kevin Gausman","Blake Snell","Day","Turf",110,-120,"TBR",6,TRUE
"DET","MIN","Anibal Sanchez","Bartolo Colon","Day","Grass",120,-130,"MIN",4,TRUE
"ARI","KCR","Robbie Ray","Jason Vargas","Day","Grass",-125,115,"ARI",-12,FALSE
"MIL","STL","Aaron Wilkerson","Jack Flaherty","Day","Grass",140,-150,"MIL",-5,FALSE
"CIN","CHC","Deck McGuire","Mike Montgomery","Day","Grass",160,-175,"CIN",-2,FALSE
