"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","155","25","17","3.86","475.2","204","230","182","469",".239",3.02675159235669
"ATL","156","25","16","4.59","507.2","259","274","213","479",".243",3.25128205128205
"BAL","156","30","18","3.84","576.1","246","270","216","491",".252",3.66942675159236
"BOS","151","29","14","3.00","504.2","168","179","168","547",".223",3.23205128205128
"CHC","154","26","22","3.88","530.2","229","245","250","589",".223",3.39871794871795
"CHW","156","27","20","4.42","525.2","258","272","228","493",".245",3.36666666666667
"CIN","154","24","20","4.66","589.2","305","322","267","571",".249",3.77692307692308
"CLE","149","20","20","2.84","468.1","148","166","145","519",".225",3.00064102564103
"COL","156","24","18","4.33","534.2","257","273","204","535",".251",3.40254777070064
"DET","154","17","27","5.66","510.2","321","340","231","452",".284",3.27051282051282
"HOU","155","30","22","4.40","526.0","257","270","205","638",".236",3.37179487179487
"KCR","155","27","24","4.29","547.2","261","287","234","484",".254",3.50769230769231
"LAA","155","35","21","3.84","546.1","233","244","161","578",".238",3.50064102564103
"LAD","155","30","19","3.44","536.2","205","213","174","609",".222",3.41528662420382
"MIA","155","29","29","4.37","587.0","285","305","258","542",".258",3.76282051282051
"MIL","155","25","35","3.86","547.1","235","256","260","585",".241",3.50705128205128
"MIN","150","22","19","4.46","538.1","267","286","181","456",".262",3.44935897435897
"NYM","155","19","27","4.80","546.0","291","309","259","569",".263",3.47770700636943
"NYY","154","29","23","3.38","519.0","195","209","216","631",".207",3.32692307692308
"OAK","155","22","26","4.56","533.0","270","293","199","508",".248",3.41666666666667
"PHI","156","22","33","4.29","528.2","252","269","212","519",".256",3.36433121019108
"PIT","154","25","27","3.87","521.1","224","244","204","475",".248",3.34038461538462
"SDP","155","25","28","4.44","536.2","265","287","196","573",".236",3.41528662420382
"SFG","154","21","23","4.35","474.0","229","247","210","435",".259",3.01910828025478
"SEA","156","29","28","4.01","552.0","246","275","205","527",".243",3.51592356687898
"STL","153","20","28","3.87","505.0","217","235","174","501",".250",3.23717948717949
"TBR","156","26","31","3.83","518.2","221","240","192","480",".236",3.32179487179487
"TEX","154","22","25","4.66","491.0","254","285","222","444",".266",3.1474358974359
"TOR","155","28","26","4.24","578.0","272","294","207","611",".241",3.68152866242038
"WSN","153","24","17","4.35","452.2","219","230","152","422",".255",2.89871794871795
