"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",157,"90","67",".573","-1","5.0","4.1","0.9","-0.2","0.7","92-65",-2,"11-6","50-29","40-38","9-3","28-21","67-50","23-17","39-35","51-32","5-5","11-9","21-9","10","26-22","64-45","90-67","0-0","93-64",-0.013,0.312,0.542,-0.0309999999999999,0.587,0.014,0.647,0.0740000000000001,0.633,0.0600000000000001,0.513,-0.0599999999999999,0.75,0.177,0.571,-0.002,0.573,0,0.575,0.002,0.527,-0.0459999999999999,0.614,0.041,0.5,-0.073,0.55,-0.0229999999999999,0.7,0.127,0.573,0,NA,NA
"ATL","22","NL",156,"71","85",".455","-1","4.6","5.0","-0.4","-0.2","-0.6","71-85",0,"9-11","37-44","34-41","6-8","19-22","56-71","15-14","25-37","46-48","4-6","11-9","14-16","28.5","22-28","49-57","69-85","2-0","71-85",0,0.263,0.44,-0.015,0.462,0.00700000000000001,0.45,-0.005,0.457,0.002,0.453,-0.002,0.429,-0.026,0.463,0.00800000000000001,0.441,-0.014,0.517,0.062,0.403,-0.052,0.489,0.034,0.4,-0.055,0.55,0.095,0.467,0.012,0.448,-0.00700000000000001,1,0.545
"BAL","18","AL",157,"75","82",".478","1","4.7","5.2","-0.5","0.3","-0.2","72-85",3,"8-10","46-35","29-47","12-4","21-19","49-59","26-23","25-46","50-36","3-7","5-15","13-17","25","23-25","52-57","66-75","9-7","71-86",0.019,0.255,0.479,0.001,0.477,-0.001,0.444,-0.034,0.568,0.09,0.382,-0.096,0.75,0.272,0.525,0.047,0.454,-0.024,0.531,0.053,0.352,-0.126,0.581,0.103,0.3,-0.178,0.25,-0.228,0.433,-0.045,0.468,-0.00999999999999995,0.562,0.0840000000000001
"BOS","5","AL",156,"91","65",".583","-1","4.9","4.0","0.8","0.1","0.9","91-65",0,"16-4","46-29","45-36","15-3","22-17","73-47","18-18","26-20","65-45","8-2","14-6","18-12","8.5","24-23","67-42","78-60","13-5","92-64",0,0.25,0.511,-0.072,0.615,0.032,0.8,0.217,0.613,0.03,0.556,-0.0269999999999999,0.833,0.25,0.564,-0.019,0.608,0.025,0.5,-0.083,0.565,-0.018,0.591,0.00800000000000001,0.8,0.217,0.7,0.117,0.6,0.017,0.565,-0.018,0.722,0.139
"CHC","7","NL",156,"88","68",".564","2","5.1","4.3","0.7","-0.2","0.5","89-67",-1,"12-8","46-32","42-36","6-3","24-16","67-54","21-14","33-34","55-34","8-2","13-7","20-10","11.5","36-35","52-33","87-67","1-1","90-66",-0.006,0.256,0.507,-0.0569999999999999,0.612,0.048,0.6,0.036,0.59,0.026,0.538,-0.0259999999999999,0.667,0.103,0.6,0.036,0.554,-0.0099999999999999,0.6,0.036,0.493,-0.071,0.618,0.054,0.8,0.236,0.65,0.0860000000000001,0.667,0.103,0.565,0.001,0.5,-0.0639999999999999
"CHW","27","AL",156,"64","92",".410","2","4.4","5.1","-0.6","0.2","-0.5","68-88",-4,"6-14","37-41","27-51","4-5","19-23","44-66","20-26","22-47","42-45","5-5","10-10","14-16","35.5","26-28","38-64","61-89","3-3","67-89",-0.026,0.269,0.481,0.071,0.373,-0.037,0.3,-0.11,0.474,0.064,0.346,-0.064,0.444,0.034,0.452,0.042,0.4,-0.00999999999999995,0.435,0.025,0.319,-0.091,0.483,0.073,0.5,0.09,0.5,0.09,0.467,0.0570000000000001,0.407,-0.003,0.5,0.09
"CIN","26","NL",156,"66","90",".423","-6","4.7","5.4","-0.7","0.0","-0.7","68-88",-2,"5-15","39-42","27-48","3-7","13-19","58-64","8-26","32-56","34-34","3-7","8-12","13-17","33.5","24-33","42-57","65-85","1-5","67-89",-0.013,0.205,0.421,-0.002,0.424,0.001,0.25,-0.173,0.481,0.058,0.36,-0.063,0.3,-0.123,0.406,-0.017,0.475,0.052,0.235,-0.188,0.364,-0.059,0.5,0.077,0.3,-0.123,0.4,-0.023,0.433,0.01,0.433,0.01,0.167,-0.256
"CLE","2","AL",156,"98","58",".628","2","5.1","3.5","1.5","-0.1","1.5","103-53",-5,"6-14","45-30","53-28","4-2","20-14","63-34","35-24","25-21","73-37","8-2","18-2","28-2","1.5","37-17","61-41","94-55","4-3","105-51",-0.032,0.218,0.685,0.0570000000000001,0.598,-0.03,0.3,-0.328,0.6,-0.028,0.654,0.026,0.667,0.039,0.588,-0.04,0.649,0.021,0.593,-0.035,0.543,-0.085,0.664,0.036,0.8,0.172,0.9,0.272,0.933,0.305,0.631,0.003,0.571,-0.0570000000000001
"COL","9","NL",157,"84","73",".535","-1","5.0","4.7","0.3","-0.2","0.2","83-74",1,"10-10","43-33","41-40","2-3","21-14","58-54","26-19","36-33","48-40","4-6","11-9","15-15","16","34-23","50-50","84-73","0-0","84-73",0.006,0.223,0.596,0.0609999999999999,0.5,-0.035,0.5,-0.035,0.566,0.0309999999999999,0.506,-0.029,0.4,-0.135,0.6,0.0649999999999999,0.518,-0.017,0.578,0.0429999999999999,0.522,-0.013,0.545,0.01,0.4,-0.135,0.55,0.015,0.5,-0.035,0.535,0,NA,NA
"DET","28","AL",156,"62","94",".397","-7","4.6","5.6","-1.0","0.2","-0.8","64-92",-2,"8-12","34-47","28-47","1-4","16-22","42-73","20-21","27-38","35-56","2-8","4-16","7-23","37.5","27-29","35-65","61-89","1-5","63-93",-0.013,0.244,0.482,0.085,0.35,-0.047,0.4,0.003,0.42,0.023,0.373,-0.024,0.2,-0.197,0.421,0.024,0.365,-0.032,0.488,0.091,0.415,0.018,0.385,-0.012,0.2,-0.197,0.2,-0.197,0.233,-0.164,0.407,0.00999999999999995,0.167,-0.23
