"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","158","26","17","3.79","489.1","206","232","186","480",".240",3.056875
"ATL","160","25","18","4.60","516.1","264","284","222","489",".245",3.225625
"BAL","159","30","18","3.88","589.1","254","278","222","500",".252",3.681875
"BOS","155","29","14","3.10","523.0","180","192","175","567",".225",3.26875
"CHC","158","28","22","3.82","549.0","233","249","262","605",".222",3.43125
"CHW","160","29","20","4.33","542.1","261","275","237","506",".243",3.388125
"CIN","158","24","21","4.62","602.0","309","326","275","584",".248",3.7625
"CLE","153","21","21","2.91","481.2","156","174","146","538",".227",3.0075
"COL","159","24","18","4.37","541.2","263","279","205","541",".253",3.3825
"DET","158","17","28","5.66","521.2","328","347","238","456",".284",3.2575
"HOU","159","30","22","4.30","539.2","258","271","211","652",".234",3.37
"KCR","159","28","24","4.19","562.1","262","288","241","497",".253",3.513125
"LAA","159","36","23","3.85","563.1","241","254","167","595",".239",3.519375
"LAD","158","30","19","3.40","547.2","207","217","179","622",".221",3.42
"MIA","159","30","29","4.37","606.0","294","315","269","555",".259",3.7875
"MIL","159","27","35","3.82","565.0","240","261","266","607",".240",3.53125
"MIN","154","24","20","4.46","559.0","277","297","187","476",".262",3.49375
"NYM","158","20","27","4.74","556.0","293","311","260","574",".262",3.475
"NYY","158","29","23","3.35","531.1","198","212","222","644",".205",3.319375
"OAK","159","23","26","4.54","545.0","275","298","200","520",".248",3.40625
"PHI","159","23","33","4.20","540.1","252","269","217","538",".254",3.375625
"PIT","158","25","28","3.87","537.0","231","251","211","487",".249",3.35625
"SDP","158","25","28","4.49","547.0","273","295","200","577",".239",3.41875
"SFG","157","21","24","4.36","485.1","235","253","218","448",".258",3.031875
"SEA","159","30","30","4.01","563.0","251","280","206","541",".243",3.51875
"STL","157","21","29","3.84","522.2","223","241","181","521",".247",3.26375
"TBR","160","28","31","3.82","539.2","229","248","200","503",".235",3.37
"TEX","158","22","25","4.78","507.0","269","300","225","459",".268",3.16875
"TOR","158","28","26","4.25","588.2","278","300","208","625",".241",3.67625
"WSN","157","25","17","4.33","463.1","223","235","157","433",".254",2.894375
