"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin"
"HOU","BOS","Lance McCullers","Drew Pomeranz","Day","Grass",-108,-102,"BOS",3,TRUE
"TOR","NYY","Marcus Stroman","CC Sabathia","Day","Grass",145,-155,"NYY",1,TRUE
"CIN","CHC","Jackson Stephens","Jon Lester","Day","Grass",175,-190,"CHC",9,TRUE
"SDP","SFG","Jhoulys Chacin","Matt Cain","Day","Grass",-110,100,"SDP",-1,FALSE
"MIL","STL","Junior Guerra","Luke Weaver","Day","Grass",125,-135,"STL",1,TRUE
"BAL","TBR","Miguel Castro","Chris Archer","Night","Turf",160,-175,"TBR",1,TRUE
"PIT","WSN","Jameson Taillon","Max Scherzer","Night","Grass",200,-240,"PIT",-3,FALSE
"NYM","PHI","Seth Lugo","Henderson Alvarez","Night","Grass",115,-125,"NYM",-3,FALSE
"DET","MIN","Buck Farmer","Aaron Slegers","Night","Grass",145,-160,"DET",-1,FALSE
"ATL","MIA","Lucas Sims","Odrisamer Despaigne","Night","Grass",110,-120,"MIA",8,TRUE
"CHW","CLE","Carson Fulmer","Corey Kluber","Night","Grass",260,-320,"CHW",-1,FALSE
"ARI","KCR","Taijuan Walker","Jakob Junis","Night","Grass",-108,-102,"KCR",1,TRUE
"OAK","TEX","Daniel Gossett","Andrew Cashner","Night","Grass",118,-128,"TEX",4,TRUE
"LAD","COL","Clayton Kershaw","German Marquez","Night","Grass",-185,165,"LAD",-2,FALSE
"SEA","LAA","Andrew Moore","Ricky Nolasco","Night","Grass",123,-133,"SEA",-2,FALSE
