"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"HOU","BOS","Lance McCullers","Drew Pomeranz",49,51
"TOR","NYY","Marcus Stroman","CC Sabathia",40,60
"CIN","CHC","Jackson Stephens","Jon Lester",34,66
"SDP","SFG","Jhoulys Chacin","Matt Cain",52,48
"MIL","STL","Junior Guerra","Luke Weaver",44,56
"BAL","TBR","Miguel Castro","Chris Archer",44,56
"NYM","PHI","Seth Lugo","Henderson Alvarez",48,52
"PIT","WSN","Jameson Taillon","Max Scherzer",31,69
"CHW","CLE","Carson Fulmer","Corey Kluber",23,77
"ATL","MIA","Lucas Sims","Odrisamer Despaigne",43,57
"DET","MIN","Buck Farmer","Aaron Slegers",34,66
"ARI","KCR","Taijuan Walker","Jakob Junis",52,48
"OAK","TEX","Daniel Gossett","Andrew Cashner",42,58
"LAD","COL","Clayton Kershaw","German Marquez",60,40
"SEA","LAA","Andrew Moore","Ricky Nolasco",45,55
