"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",159,"92","67",".579","2","5.0","4.1","0.9","-0.2","0.7","94-65",-2,"11-6","52-29","40-38","9-3","29-21","68-50","24-17","39-35","53-32","5-5","11-9","21-9","10","27-21","65-46","92-67","0-0","95-64",-0.013,0.314,0.562,-0.0169999999999999,0.586,0.00700000000000001,0.647,0.0680000000000001,0.642,0.0630000000000001,0.513,-0.0659999999999999,0.75,0.171,0.58,0.001,0.576,-0.003,0.585,0.00600000000000001,0.527,-0.0519999999999999,0.624,0.045,0.5,-0.079,0.55,-0.0289999999999999,0.7,0.121,0.579,0,NA,NA
"ATL","23","NL",159,"71","88",".447","-4","4.5","5.0","-0.5","-0.2","-0.7","72-87",-1,"9-11","37-44","34-44","6-8","19-23","56-73","15-15","25-37","46-51","4-6","9-11","14-16","31","21-28","50-60","69-88","2-0","71-88",-0.006,0.264,0.429,-0.018,0.455,0.00800000000000001,0.45,0.003,0.457,0.01,0.436,-0.011,0.429,-0.018,0.452,0.005,0.434,-0.013,0.5,0.053,0.403,-0.044,0.474,0.027,0.4,-0.047,0.45,0.003,0.467,0.02,0.439,-0.00800000000000001,1,0.553
"BAL","20","AL",159,"75","84",".472","-2","4.7","5.2","-0.5","0.3","-0.3","72-87",3,"8-12","46-35","29-49","12-4","21-19","49-61","26-23","25-46","50-38","3-7","4-16","11-19","27","23-25","52-59","66-77","9-7","71-88",0.019,0.252,0.479,0.00700000000000001,0.468,-0.00399999999999995,0.4,-0.072,0.568,0.096,0.372,-0.1,0.75,0.278,0.525,0.053,0.445,-0.027,0.531,0.0590000000000001,0.352,-0.12,0.568,0.096,0.3,-0.172,0.2,-0.272,0.367,-0.105,0.462,-0.00999999999999995,0.562,0.0900000000000001
"BOS","5","AL",159,"92","67",".579","-1","4.9","4.1","0.7","0.1","0.8","91-68",1,"16-4","47-31","45-36","15-3","22-17","74-48","18-19","26-21","66-46","7-3","14-6","19-11","10","24-23","68-44","79-62","13-5","92-67",0.006,0.245,0.511,-0.0679999999999999,0.607,0.028,0.8,0.221,0.603,0.024,0.556,-0.0229999999999999,0.833,0.254,0.564,-0.015,0.607,0.028,0.486,-0.093,0.553,-0.0259999999999999,0.589,0.01,0.7,0.121,0.7,0.121,0.633,0.054,0.56,-0.0189999999999999,0.722,0.143
"CHC","7","NL",159,"90","69",".566","2","5.1","4.3","0.7","-0.2","0.6","91-68",-1,"12-8","46-32","44-37","7-3","25-17","69-55","21-14","35-35","55-34","7-3","14-6","21-9","12","36-35","54-34","89-68","1-1","92-67",-0.006,0.264,0.507,-0.0589999999999999,0.614,0.048,0.6,0.034,0.59,0.024,0.543,-0.0229999999999999,0.7,0.134,0.595,0.029,0.556,-0.0099999999999999,0.6,0.034,0.5,-0.0659999999999999,0.618,0.052,0.7,0.134,0.7,0.134,0.7,0.134,0.567,0.001,0.5,-0.0659999999999999
"CHW","27","AL",159,"66","93",".415","2","4.4","5.1","-0.7","0.2","-0.5","70-89",-4,"6-14","39-42","27-51","5-5","20-23","46-67","20-26","22-47","44-46","6-4","12-8","14-16","36","26-28","40-65","63-90","3-3","69-90",-0.025,0.27,0.481,0.066,0.381,-0.034,0.3,-0.115,0.481,0.066,0.346,-0.069,0.5,0.085,0.465,0.05,0.407,-0.00800000000000001,0.435,0.02,0.319,-0.096,0.489,0.074,0.6,0.185,0.6,0.185,0.467,0.052,0.412,-0.003,0.5,0.085
"CIN","26","NL",159,"67","92",".421","-1","4.7","5.4","-0.7","0.0","-0.7","70-89",-3,"5-15","39-42","28-50","3-7","13-21","59-65","8-27","33-58","34-34","2-8","7-13","12-18","35","24-34","43-58","66-87","1-5","69-90",-0.019,0.214,0.414,-0.00700000000000001,0.426,0.005,0.25,-0.171,0.481,0.06,0.359,-0.062,0.3,-0.121,0.382,-0.039,0.476,0.055,0.229,-0.192,0.363,-0.058,0.5,0.079,0.2,-0.221,0.35,-0.071,0.4,-0.021,0.431,0.01,0.167,-0.254
"CLE","2","AL",159,"100","59",".629","2","5.1","3.5","1.5","-0.1","1.5","105-54",-5,"6-14","47-31","53-28","4-2","20-14","64-35","36-24","27-22","73-37","8-2","17-3","27-3","2","38-17","62-42","96-56","4-3","107-52",-0.031,0.214,0.691,0.0619999999999999,0.596,-0.033,0.3,-0.329,0.603,-0.026,0.654,0.025,0.667,0.038,0.588,-0.041,0.646,0.017,0.6,-0.029,0.551,-0.078,0.664,0.035,0.8,0.171,0.85,0.221,0.9,0.271,0.632,0.003,0.571,-0.0580000000000001
"COL","9","NL",159,"86","73",".541","2","5.1","4.7","0.4","-0.2","0.2","85-74",1,"10-10","45-33","41-40","2-3","21-14","59-54","27-19","36-33","50-40","4-6","12-8","16-14","16","35-22","51-51","86-73","0-0","86-73",0.006,0.22,0.614,0.073,0.5,-0.041,0.5,-0.041,0.577,0.0359999999999999,0.506,-0.035,0.4,-0.141,0.6,0.0589999999999999,0.522,-0.019,0.587,0.0459999999999999,0.522,-0.019,0.556,0.015,0.4,-0.141,0.6,0.0589999999999999,0.533,-0.00800000000000001,0.541,0,NA,NA
"DET","29","AL",159,"63","96",".396","1","4.6","5.5","-1.0","0.2","-0.8","66-93",-3,"8-12","34-47","29-49","1-4","16-23","42-74","21-22","27-38","36-58","1-9","4-16","7-23","39","28-29","35-67","62-91","1-5","65-94",-0.019,0.245,0.491,0.095,0.343,-0.053,0.4,0.004,0.42,0.024,0.372,-0.024,0.2,-0.196,0.41,0.014,0.362,-0.034,0.488,0.092,0.415,0.019,0.383,-0.013,0.1,-0.296,0.2,-0.196,0.233,-0.163,0.405,0.00900000000000001,0.167,-0.229
"HOU","3","AL",159,"99","60",".623","4","5.6","4.3","1.2","0.0","1.2","97-62",2,"15-5","48-33","51-27","4-4","17-13","78-37","21-23","16-14","83-46","8-2","13-7","21-9","3","33-15","66-45","94-55","5-5","99-60",0.013,0.189,0.688,0.0649999999999999,0.595,-0.028,0.75,0.127,0.593,-0.03,0.654,0.031,0.5,-0.123,0.567,-0.056,0.678,0.055,0.477,-0.146,0.533,-0.09,0.643,0.02,0.8,0.177,0.65,0.027,0.7,0.077,0.631,0.00800000000000001,0.5,-0.123
"KCR","14","AL",159,"78","81",".491","-1","4.4","4.9","-0.5","0.2","-0.3","72-87",6,"7-10","41-37","37-44","4-7","23-16","60-59","18-22","27-41","51-40","5-5","9-11","14-16","24","26-27","52-54","73-79","5-2","71-88",0.038,0.245,0.491,0,0.491,0,0.412,-0.079,0.526,0.035,0.457,-0.034,0.364,-0.127,0.59,0.099,0.504,0.013,0.45,-0.041,0.397,-0.094,0.56,0.0690000000000001,0.5,0.00900000000000001,0.45,-0.041,0.467,-0.024,0.48,-0.011,0.714,0.223
"LAA","13","AL",159,"78","81",".491","-2","4.4","4.4","0.0","0.2","0.1","79-80",-1,"11-9","41-37","37-44","8-7","26-22","56-58","22-23","21-31","57-50","2-8","6-14","13-17","24","18-24","60-57","74-78","4-3","79-80",-0.006,0.302,0.429,-0.062,0.513,0.022,0.55,0.0590000000000001,0.526,0.035,0.457,-0.034,0.533,0.042,0.542,0.051,0.491,0,0.489,-0.002,0.404,-0.087,0.533,0.042,0.2,-0.291,0.3,-0.191,0.433,-0.058,0.487,-0.004,0.571,0.08
"LAD","1","NL",159,"102","57",".641","4","4.8","3.6","1.2","-0.3","0.9","100-59",2,"16-4","57-24","45-33","8-4","25-19","70-42","32-15","34-32","68-25","6-4","10-10","11-19","0","29-14","73-43","102-57","0-0","102-57",0.013,0.277,0.674,0.033,0.629,-0.012,0.8,0.159,0.704,0.0629999999999999,0.577,-0.0640000000000001,0.667,0.026,0.568,-0.0730000000000001,0.625,-0.016,0.681,0.04,0.515,-0.126,0.731,0.09,0.6,-0.041,0.5,-0.141,0.367,-0.274,0.642,0.001,NA,NA
"MIA","18","NL",159,"75","84",".472","1","4.8","5.1","-0.3","-0.2","-0.5","75-84",0,"9-11","41-37","34-47","6-5","17-22","63-64","12-20","22-40","53-44","6-4","8-12","9-21","27","24-24","51-60","74-83","1-1","74-85",0,0.245,0.5,0.028,0.459,-0.013,0.45,-0.022,0.526,0.054,0.42,-0.052,0.545,0.0730000000000001,0.436,-0.036,0.496,0.024,0.375,-0.097,0.355,-0.117,0.546,0.0740000000000001,0.6,0.128,0.4,-0.072,0.3,-0.172,0.471,-0.001,0.5,0.028
"MIL","10","NL",159,"84","75",".528","1","4.5","4.3","0.2","-0.1","0.1","83-76",1,"11-9","44-37","40-38","5-11","25-21","67-58","17-17","35-37","49-38","5-5","12-8","18-12","18","31-28","53-47","80-74","4-1","83-76",0.006,0.289,0.525,-0.003,0.53,0.002,0.55,0.022,0.543,0.015,0.513,-0.015,0.312,-0.216,0.543,0.015,0.536,0.00800000000000001,0.5,-0.028,0.486,-0.042,0.563,0.0349999999999999,0.5,-0.028,0.6,0.072,0.6,0.072,0.519,-0.00900000000000001,0.8,0.272
