"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin"
"HOU","TEX","Justin Verlander","Nick Martinez","Day","Grass",-210,190,"HOU",-10,FALSE
"MIA","COL","Adam Conley","Jon Gray","Day","Grass",180,-200,"COL",6,TRUE
"SEA","OAK","Erasmo Ramirez","Kendall Graveman","Day","Grass",105,-115,"OAK",1,TRUE
"SFG","ARI","Jeff Samardzija","Braden Shipley","Day","Grass",132,-142,"ARI",1,TRUE
"BAL","PIT","Gabriel Ynoa","Chad Kuhl","Night","Grass",115,-125,"PIT",2,TRUE
"WSN","PHI","Tanner Roark","Mark Leiter","Night","Grass",-160,150,"PHI",2,TRUE
"TBR","NYY","Matt Andriese","Luis Severino","Night","Grass",230,-260,"NYY",5,TRUE
"CHC","STL","John Lackey","Michael Wacha","Night","Grass",-105,-105,"CHC",-4,FALSE
"MIN","CLE","Adalberto Mejia","Danny Salazar","Night","Grass",150,-165,"CLE",2,TRUE
"TOR","BOS","Marco Estrada","Rick Porcello","Night","Grass",150,-160,"BOS",3,TRUE
"ATL","NYM","Sean Newcomb","Robert Gsellman","Night","Grass",-110,100,"NYM",6,TRUE
"LAA","CHW","Garrett Richards","Reynaldo Lopez","Night","Grass",-185,165,"CHW",2,TRUE
"CIN","MIL","Homer Bailey","Brandon Woodruff","Night","Grass",150,-160,"CIN",-6,FALSE
"DET","KCR","Jordan Zimmermann","Jason Hammel","Night","Grass",160,-175,"KCR",3,TRUE
"SDP","LAD","Clayton Richard","Rich Hill","Night","Grass",185,-200,"LAD",10,TRUE
