"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"PHI","28","NL",158,"63","95",".399","1","4.2","4.9","-0.7","-0.1","-0.8","68-90",-5,"5-15","36-41","27-54","7-9","21-36","39-74","24-21","22-43","41-52","5-5","10-10","16-14","38","26-30","37-65","63-95","0-0","67-91",-0.032,0.361,0.464,0.065,0.363,-0.036,0.25,-0.149,0.468,0.069,0.333,-0.066,0.438,0.039,0.368,-0.031,0.345,-0.054,0.533,0.134,0.338,-0.061,0.441,0.042,0.5,0.101,0.5,0.101,0.533,0.134,0.399,0,NA,NA
"PIT","21","NL",157,"72","85",".459","3","4.1","4.5","-0.4","-0.1","-0.5","72-85",0,"9-10","43-37","29-48","8-9","20-23","56-61","16-24","38-48","34-37","4-6","7-13","11-19","28.5","28-22","44-63","71-83","1-2","71-86",0,0.274,0.56,0.101,0.411,-0.048,0.474,0.015,0.538,0.079,0.377,-0.082,0.471,0.012,0.465,0.00600000000000001,0.479,0.02,0.4,-0.059,0.442,-0.017,0.479,0.02,0.4,-0.059,0.35,-0.109,0.367,-0.092,0.461,0.002,0.333,-0.126
"SDP","24","NL",158,"70","88",".443","-3","3.8","5.0","-1.2","0.0","-1.2","59-99",11,"8-12","43-38","27-50","4-7","18-18","51-62","19-26","35-55","35-33","5-5","8-12","13-17","31","18-31","52-57","70-88","0-0","57-101",0.07,0.228,0.367,-0.076,0.477,0.034,0.4,-0.043,0.531,0.088,0.351,-0.092,0.364,-0.079,0.5,0.057,0.451,0.00800000000000001,0.422,-0.021,0.389,-0.054,0.515,0.072,0.5,0.057,0.4,-0.043,0.433,-0.01,0.443,0,NA,NA
"SEA","15","AL",158,"77","81",".487","2","4.6","4.7","-0.1","0.1","0.0","77-81",0,"12-8","40-41","37-40","7-5","26-13","55-59","22-22","20-32","57-49","3-7","8-12","12-18","24","23-29","54-52","75-76","2-5","77-81",0,0.247,0.442,-0.045,0.509,0.022,0.6,0.113,0.494,0.00700000000000001,0.481,-0.00600000000000001,0.583,0.096,0.667,0.18,0.482,-0.005,0.5,0.013,0.385,-0.102,0.538,0.051,0.3,-0.187,0.4,-0.087,0.4,-0.087,0.497,0.01,0.286,-0.201
"SFG","30","NL",158,"62","96",".392","-1","3.9","4.8","-0.9","0.0","-0.9","64-94",-2,"8-12","36-42","26-54","12-7","22-22","44-66","18-30","36-53","26-43","5-5","8-12","11-19","39","21-34","41-62","62-96","0-0","63-95",-0.013,0.278,0.382,-0.01,0.398,0.00600000000000001,0.4,0.00800000000000001,0.462,0.07,0.325,-0.067,0.632,0.24,0.5,0.108,0.4,0.00800000000000001,0.375,-0.017,0.404,0.012,0.377,-0.015,0.5,0.108,0.4,0.00800000000000001,0.367,-0.025,0.392,0,NA,NA
"STL","12","NL",157,"82","75",".522","1","4.8","4.3","0.4","-0.2","0.3","85-72",-3,"8-12","43-33","39-42","5-8","23-28","63-59","19-16","26-40","56-35","5-5","12-8","18-12","18.5","26-26","56-49","82-75","0-0","86-71",-0.019,0.325,0.5,-0.022,0.533,0.011,0.4,-0.122,0.566,0.0439999999999999,0.481,-0.041,0.385,-0.137,0.451,-0.071,0.516,-0.00600000000000001,0.543,0.021,0.394,-0.128,0.615,0.093,0.5,-0.022,0.6,0.078,0.6,0.078,0.522,0,NA,NA
"TBR","16","AL",157,"76","81",".484","-2","4.2","4.4","-0.1","0.2","0.1","76-81",0,"11-9","39-39","37-42","8-6","20-24","58-52","18-29","30-36","46-45","4-6","8-12","14-16","24.5","26-30","50-51","35-38","41-43","76-81",0,0.28,0.464,-0.02,0.495,0.011,0.55,0.0660000000000001,0.5,0.016,0.468,-0.016,0.571,0.087,0.455,-0.029,0.527,0.043,0.383,-0.101,0.455,-0.029,0.505,0.021,0.4,-0.084,0.4,-0.084,0.467,-0.017,0.479,-0.005,0.488,0.004
"TEX","17","AL",157,"76","81",".484","-5","5.0","5.0","0.0","0.1","0.1","78-79",-2,"14-6","39-37","37-44","5-5","13-24","54-64","22-17","18-29","58-52","4-6","7-13","12-18","24.5","20-22","56-59","70-78","6-3","78-79",-0.013,0.236,0.476,-0.00800000000000001,0.487,0.003,0.7,0.216,0.513,0.029,0.457,-0.027,0.5,0.016,0.351,-0.133,0.458,-0.026,0.564,0.08,0.383,-0.101,0.527,0.043,0.4,-0.084,0.35,-0.134,0.4,-0.084,0.473,-0.011,0.667,0.183
"TOR","18","AL",158,"75","83",".475","3","4.3","4.9","-0.5","0.2","-0.3","71-87",4,"9-11","42-39","33-44","5-14","25-26","58-60","17-23","26-38","49-45","6-4","11-9","15-15","26","31-27","44-56","29-38","46-45","70-88",0.025,0.323,0.534,0.0590000000000001,0.44,-0.035,0.45,-0.025,0.519,0.044,0.429,-0.046,0.263,-0.212,0.49,0.015,0.492,0.017,0.425,-0.05,0.406,-0.069,0.521,0.046,0.6,0.125,0.55,0.0750000000000001,0.5,0.025,0.433,-0.042,0.505,0.03
"WSN","4","NL",157,"95","62",".605","-1","5.1","4.1","0.9","-0.3","0.6","93-64",2,"10-10","45-32","50-30","7-4","29-21","73-48","22-14","23-19","72-43","6-4","12-8","18-12","5.5","27-29","68-33","95-62","0-0","95-62",0.013,0.318,0.482,-0.123,0.673,0.0680000000000001,0.5,-0.105,0.584,-0.021,0.625,0.02,0.636,0.031,0.58,-0.025,0.603,-0.002,0.611,0.00600000000000001,0.548,-0.0569999999999999,0.626,0.021,0.6,-0.005,0.6,-0.005,0.6,-0.005,0.605,0,NA,NA
