"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",158,"91","67",".576","1","5.0","4.1","0.9","-0.2","0.7","93-65",-2,"11-6","51-29","40-38","9-3","28-21","67-50","24-17","39-35","52-32","5-5","11-9","21-9","10","27-21","64-46","91-67","0-0","94-64",-0.013,0.31,0.562,-0.0139999999999999,0.582,0.00600000000000001,0.647,0.0710000000000001,0.638,0.0620000000000001,0.513,-0.0629999999999999,0.75,0.174,0.571,-0.005,0.573,-0.003,0.585,0.00900000000000001,0.527,-0.0489999999999999,0.619,0.043,0.5,-0.076,0.55,-0.0259999999999999,0.7,0.124,0.576,0,NA,NA
"ATL","23","NL",157,"71","86",".452","-2","4.6","5.0","-0.5","-0.2","-0.6","72-85",-1,"9-11","37-44","34-42","6-8","19-23","56-72","15-14","25-37","46-49","4-6","11-9","14-16","29.5","21-28","50-58","69-86","2-0","71-86",-0.006,0.268,0.429,-0.023,0.463,0.011,0.45,-0.002,0.457,0.005,0.447,-0.005,0.429,-0.023,0.452,0,0.438,-0.014,0.517,0.065,0.403,-0.049,0.484,0.032,0.4,-0.052,0.55,0.098,0.467,0.015,0.445,-0.00700000000000001,1,0.548
"BAL","19","AL",158,"75","83",".475","-1","4.7","5.2","-0.5","0.3","-0.2","71-87",4,"8-11","46-35","29-48","12-4","21-19","49-60","26-23","25-46","50-37","3-7","5-15","12-18","26","23-26","52-57","66-76","9-7","71-87",0.025,0.253,0.469,-0.00600000000000001,0.477,0.002,0.421,-0.054,0.568,0.093,0.377,-0.098,0.75,0.275,0.525,0.05,0.45,-0.025,0.531,0.056,0.352,-0.123,0.575,0.1,0.3,-0.175,0.25,-0.225,0.4,-0.075,0.465,-0.00999999999999995,0.562,0.0870000000000001
"BOS","5","AL",157,"91","66",".580","-2","4.9","4.1","0.8","0.1","0.9","91-66",0,"16-4","46-30","45-36","15-3","22-17","73-47","18-19","26-20","65-46","7-3","14-6","18-12","9.5","24-23","67-43","78-61","13-5","92-65",0,0.248,0.511,-0.069,0.609,0.029,0.8,0.22,0.605,0.025,0.556,-0.0239999999999999,0.833,0.253,0.564,-0.016,0.608,0.028,0.486,-0.094,0.565,-0.015,0.586,0.00600000000000001,0.7,0.12,0.7,0.12,0.6,0.02,0.561,-0.0189999999999999,0.722,0.142
"CHC","7","NL",157,"88","69",".560","-1","5.1","4.4","0.7","-0.2","0.5","89-68",-1,"12-8","46-32","42-37","6-3","24-17","67-55","21-14","33-35","55-34","7-3","13-7","20-10","12.5","35-36","53-33","87-68","1-1","90-67",-0.006,0.261,0.493,-0.0670000000000001,0.616,0.0559999999999999,0.6,0.0399999999999999,0.59,0.0299999999999999,0.532,-0.028,0.667,0.107,0.585,0.0249999999999999,0.549,-0.011,0.6,0.0399999999999999,0.485,-0.0750000000000001,0.618,0.0579999999999999,0.7,0.14,0.65,0.09,0.667,0.107,0.561,0.001,0.5,-0.0600000000000001
"CHW","27","AL",157,"64","93",".408","-1","4.4","5.1","-0.7","0.2","-0.5","68-89",-4,"6-14","37-42","27-51","4-5","19-23","44-67","20-26","22-47","42-46","5-5","10-10","13-17","36.5","25-29","39-64","61-90","3-3","67-90",-0.025,0.268,0.463,0.055,0.379,-0.029,0.3,-0.108,0.468,0.0600000000000001,0.346,-0.062,0.444,0.036,0.452,0.044,0.396,-0.012,0.435,0.027,0.319,-0.089,0.477,0.069,0.5,0.092,0.5,0.092,0.433,0.025,0.404,-0.00399999999999995,0.5,0.092
"CIN","26","NL",157,"66","91",".420","-7","4.7","5.4","-0.7","0.0","-0.7","68-89",-2,"5-15","39-42","27-49","3-7","13-20","58-65","8-26","32-57","34-34","3-7","8-12","13-17","34.5","24-34","42-57","65-86","1-5","67-90",-0.013,0.21,0.414,-0.00600000000000001,0.424,0.004,0.25,-0.17,0.481,0.061,0.355,-0.065,0.3,-0.12,0.394,-0.026,0.472,0.052,0.235,-0.185,0.36,-0.06,0.5,0.08,0.3,-0.12,0.4,-0.02,0.433,0.013,0.43,0.01,0.167,-0.253
"CLE","2","AL",157,"98","59",".624","-1","5.1","3.5","1.5","-0.1","1.5","103-54",-5,"6-14","45-31","53-28","4-2","20-14","63-35","35-24","25-22","73-37","7-3","17-3","27-3","2.5","37-18","61-41","94-56","4-3","105-52",-0.032,0.217,0.673,0.049,0.598,-0.026,0.3,-0.324,0.592,-0.032,0.654,0.03,0.667,0.043,0.588,-0.036,0.643,0.019,0.593,-0.031,0.532,-0.092,0.664,0.04,0.7,0.076,0.85,0.226,0.9,0.276,0.627,0.003,0.571,-0.053
"COL","9","NL",158,"85","73",".538","1","5.0","4.7","0.4","-0.2","0.2","84-74",1,"10-10","44-33","41-40","2-3","21-14","59-54","26-19","36-33","49-40","4-6","11-9","16-14","16","35-22","50-51","85-73","0-0","85-73",0.006,0.222,0.614,0.076,0.495,-0.043,0.5,-0.038,0.571,0.0329999999999999,0.506,-0.032,0.4,-0.138,0.6,0.0619999999999999,0.522,-0.016,0.578,0.0399999999999999,0.522,-0.016,0.551,0.013,0.4,-0.138,0.55,0.012,0.533,-0.005,0.538,0,NA,NA
"DET","29","AL",157,"62","95",".395","-8","4.6","5.6","-1.0","0.2","-0.8","65-92",-3,"8-12","34-47","28-48","1-4","16-23","42-73","20-22","27-38","35-57","1-9","4-16","7-23","38.5","27-30","35-65","61-90","1-5","64-93",-0.019,0.248,0.474,0.079,0.35,-0.045,0.4,0.005,0.42,0.025,0.368,-0.027,0.2,-0.195,0.41,0.015,0.365,-0.03,0.476,0.081,0.415,0.02,0.38,-0.015,0.1,-0.295,0.2,-0.195,0.233,-0.162,0.404,0.00900000000000001,0.167,-0.228
"HOU","3","AL",157,"97","60",".618","2","5.5","4.4","1.1","0.0","1.1","95-62",2,"15-5","48-33","49-27","4-4","17-13","77-37","20-23","15-14","82-46","8-2","13-7","20-10","3.5","32-15","65-45","92-55","5-5","96-61",0.013,0.191,0.681,0.0630000000000001,0.591,-0.027,0.75,0.132,0.593,-0.025,0.645,0.027,0.5,-0.118,0.567,-0.051,0.675,0.0570000000000001,0.465,-0.153,0.517,-0.101,0.641,0.023,0.8,0.182,0.65,0.032,0.667,0.049,0.626,0.00800000000000001,0.5,-0.118
"KCR","14","AL",157,"77","80",".490","1","4.4","4.9","-0.5","0.2","-0.3","71-86",6,"7-10","40-36","37-44","4-7","23-16","59-59","18-21","27-41","50-39","4-6","9-11","13-17","23.5","27-26","50-54","72-78","5-2","70-87",0.038,0.248,0.509,0.019,0.481,-0.00900000000000001,0.412,-0.078,0.526,0.036,0.457,-0.033,0.364,-0.126,0.59,0.1,0.5,0.01,0.462,-0.028,0.397,-0.093,0.562,0.0720000000000001,0.4,-0.09,0.45,-0.04,0.433,-0.057,0.48,-0.01,0.714,0.224
"LAA","13","AL",157,"78","79",".497","1","4.4","4.4","0.0","0.2","0.2","79-78",-1,"11-9","41-37","37-42","8-6","26-21","56-56","22-23","21-31","57-48","3-7","8-12","13-17","22.5","19-23","59-56","74-76","4-3","79-78",-0.006,0.299,0.452,-0.045,0.513,0.016,0.55,0.053,0.526,0.029,0.468,-0.029,0.571,0.074,0.553,0.056,0.5,0.003,0.489,-0.00800000000000001,0.404,-0.093,0.543,0.046,0.3,-0.197,0.4,-0.097,0.433,-0.064,0.493,-0.004,0.571,0.074
"LAD","1","NL",158,"101","57",".639","3","4.7","3.6","1.2","-0.3","0.9","99-59",2,"16-4","56-24","45-33","8-4","25-19","70-42","31-15","34-32","67-25","5-5","9-11","10-20","0","30-14","71-43","101-57","0-0","101-57",0.013,0.278,0.682,0.043,0.623,-0.016,0.8,0.161,0.7,0.0609999999999999,0.577,-0.0620000000000001,0.667,0.028,0.568,-0.0710000000000001,0.625,-0.014,0.674,0.035,0.515,-0.124,0.728,0.089,0.5,-0.139,0.45,-0.189,0.333,-0.306,0.639,0,NA,NA
"MIA","20","NL",157,"74","83",".471","-1","4.7","5.0","-0.3","-0.2","-0.5","74-83",0,"9-11","40-37","34-46","6-5","17-22","62-63","12-20","22-39","52-44","6-4","7-13","10-20","26.5","23-24","51-59","73-82","1-1","73-84",0,0.248,0.489,0.018,0.464,-0.00699999999999995,0.45,-0.021,0.519,0.048,0.425,-0.046,0.545,0.0740000000000001,0.436,-0.035,0.496,0.025,0.375,-0.096,0.361,-0.11,0.542,0.0710000000000001,0.6,0.129,0.35,-0.121,0.333,-0.138,0.471,0,0.5,0.029
"MIL","11","NL",157,"83","74",".529","1","4.5","4.3","0.2","-0.1","0.1","82-75",1,"11-9","43-36","40-38","5-11","24-21","66-57","17-17","35-37","48-37","5-5","11-9","17-13","17.5","31-28","52-46","79-73","4-1","82-75",0.006,0.287,0.525,-0.004,0.531,0.002,0.55,0.021,0.544,0.015,0.513,-0.016,0.312,-0.217,0.533,0.004,0.537,0.00800000000000001,0.5,-0.029,0.486,-0.043,0.565,0.0359999999999999,0.5,-0.029,0.55,0.021,0.567,0.0379999999999999,0.52,-0.00900000000000001,0.8,0.271
"MIN","10","AL",157,"83","74",".529","5","5.1","4.9","0.2","0.1","0.2","81-76",2,"13-7","39-39","44-35","3-3","15-17","58-51","25-23","20-29","63-45","6-4","12-8","18-12","17.5","28-32","55-42","80-71","3-3","81-76",0.013,0.204,0.467,-0.062,0.567,0.0379999999999999,0.65,0.121,0.5,-0.029,0.557,0.028,0.5,-0.029,0.469,-0.0600000000000001,0.532,0.003,0.521,-0.00800000000000001,0.408,-0.121,0.583,0.0539999999999999,0.6,0.071,0.6,0.071,0.6,0.071,0.53,0.001,0.5,-0.029
"NYM","25","NL",158,"68","90",".430","2","4.6","5.3","-0.8","-0.1","-0.9","68-90",0,"7-13","36-44","32-46","2-8","21-24","54-67","14-23","17-49","51-41","4-6","9-11","12-18","33","15-32","53-58","68-90","0-0","67-91",0,0.285,0.319,-0.111,0.477,0.047,0.35,-0.08,0.45,0.02,0.41,-0.02,0.2,-0.23,0.467,0.037,0.446,0.016,0.378,-0.052,0.258,-0.172,0.554,0.124,0.4,-0.03,0.45,0.02,0.4,-0.03,0.43,0,NA,NA
"NYY","8","AL",157,"88","69",".560","2","5.3","4.1","1.2","0.1","1.3","97-60",-9,"15-5","48-28","40-41","5-6","17-25","64-47","24-22","26-22","62-47","7-3","14-6","20-10","12.5","33-26","55-43","82-59","6-10","98-59",-0.057,0.268,0.559,-0.001,0.561,0.001,0.75,0.19,0.632,0.072,0.494,-0.0660000000000001,0.455,-0.105,0.405,-0.155,0.577,0.0169999999999999,0.522,-0.038,0.542,-0.018,0.569,0.0089999999999999,0.7,0.14,0.7,0.14,0.667,0.107,0.582,0.0219999999999999,0.375,-0.185
"OAK","22","AL",157,"72","85",".459","-2","4.6","5.1","-0.6","0.2","-0.4","70-87",2,"7-13","45-35","27-50","4-9","20-21","54-60","18-25","24-25","48-60","7-3","14-6","17-13","28.5","33-28","39-57","71-78","1-7","69-88",0.013,0.261,0.541,0.082,0.406,-0.053,0.35,-0.109,0.562,0.103,0.351,-0.108,0.308,-0.151,0.488,0.029,0.474,0.015,0.419,-0.04,0.49,0.031,0.444,-0.015,0.7,0.241,0.7,0.241,0.567,0.108,0.477,0.018,0.125,-0.334
