"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","156","25","17","3.87","479.2","206","232","184","471",".241",3.03291139240506
"ATL","157","25","17","4.59","509.1","260","276","215","482",".243",3.24267515923567
"BAL","157","30","18","3.88","580.1","250","274","216","494",".253",3.67151898734177
"BOS","152","29","14","3.03","508.2","171","183","169","552",".223",3.23694267515924
"CHC","155","26","22","3.90","535.2","232","248","255","591",".223",3.40891719745223
"CHW","157","27","20","4.43","529.2","261","275","231","495",".245",3.37070063694268
"CIN","155","24","20","4.63","594.2","306","323","270","575",".249",3.78471337579618
"CLE","150","20","21","2.89","473.2","152","170","146","527",".227",3.0140127388535
"COL","157","24","18","4.31","536.2","257","273","204","538",".251",3.39367088607595
"DET","155","17","27","5.64","512.2","321","340","232","453",".284",3.26242038216561
"HOU","156","30","22","4.39","529.0","258","271","206","643",".236",3.36942675159236
"KCR","156","27","24","4.27","550.2","261","287","235","488",".254",3.50445859872611
"LAA","156","35","21","3.82","548.2","233","244","161","580",".238",3.49171974522293
"LAD","156","30","19","3.42","539.2","205","213","174","612",".221",3.4126582278481
"MIA","156","29","29","4.35","590.0","285","305","260","543",".258",3.75796178343949
"MIL","156","26","35","3.88","552.1","238","259","261","594",".241",3.51656050955414
"MIN","151","23","19","4.46","546.1","271","290","183","461",".262",3.47834394904459
"NYM","156","20","27","4.77","549.0","291","309","260","572",".263",3.4746835443038
"NYY","155","29","23","3.36","522.0","195","209","217","634",".206",3.32484076433121
"OAK","156","22","26","4.57","536.0","272","295","199","510",".248",3.4140127388535
"PHI","157","22","33","4.26","532.2","252","269","212","528",".255",3.36835443037975
"PIT","155","25","27","3.84","524.1","224","244","204","476",".248",3.33821656050955
"SDP","156","25","28","4.50","539.2","270","292","199","575",".237",3.4126582278481
"SFG","155","21","23","4.34","480.2","232","250","214","442",".258",3.03924050632911
"SEA","157","30","28","3.98","555.2","246","275","205","530",".243",3.51392405063291
"STL","154","21","28","3.90","509.2","221","239","177","510",".249",3.24331210191083
"TBR","157","26","31","3.82","525.2","223","242","196","486",".236",3.34522292993631
"TEX","155","22","25","4.74","497.0","262","293","222","449",".268",3.1656050955414
"TOR","156","28","26","4.27","580.0","275","297","207","614",".241",3.67088607594937
"WSN","154","24","17","4.35","455.2","220","231","154","426",".254",2.89936305732484
