"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"HOU","TEX","Justin Verlander","Nick Martinez",65,35
"MIA","COL","Adam Conley","Jon Gray",39,61
"SEA","OAK","Erasmo Ramirez","Kendall Graveman",50,50
"SFG","ARI","Jeff Samardzija","Braden Shipley",43,57
"CHC","STL","John Lackey","Michael Wacha",50,50
"TBR","NYY","Matt Andriese","Luis Severino",33,67
"WSN","PHI","Tanner Roark","Mark Leiter",60,40
"BAL","PIT","Gabriel Ynoa","Chad Kuhl",49,51
"TOR","BOS","Marco Estrada","Rick Porcello",43,57
"MIN","CLE","Adalberto Mejia","Danny Salazar",38,62
"ATL","NYM","Sean Newcomb","Robert Gsellman",50,50
"LAA","CHW","Garrett Richards","Reynaldo Lopez",59,41
"CIN","MIL","Homer Bailey","Brandon Woodruff",38,62
"DET","KCR","Jordan Zimmermann","Jason Hammel",39,61
"SDP","LAD","Clayton Richard","Rich Hill",30,70
