"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin","ARk","ALg","AG","AW","AL","AW.L.","AStrk","AR","ARA","ARdiff","ASOS","ASRS","ApythWL","ALuck","AInter","AHome","ARoad","AExInn","A1Run","AvRHP","AvLHP","Aabv500","Abel500","Alast10","Alast20","Alast30","AGB","ADAY","ANIGHT","AGRASS","ATURF","AExWL","ALuckperG","AOneRunPct","ADAYpct","ADAYdiff","ANIGHTpct","ANIGHTdiff","AInterpct","AInterdiff","AHomepct","AHomediff","ARoadpct","ARoaddiff","AExInnpct","AExInndiff","A1Runpct","A1Rundiff","AvRHPpct","AvRHPdiff","AvLHPpct","AvLHPdiff","Aabv500pct","Aabv500diff","Abel500pct","Abel500diff","Alast10pct","Alast10diff","Alast20pct","Alast20diff","Alast30pct","Alast30diff","AGRASSpct","AGRASSdiff","ATURFpct","ATURFdiff","HRk","HLg","HG","HW","HL","HW.L.","HStrk","HR","HRA","HRdiff","HSOS","HSRS","HpythWL","HLuck","HInter","HHome","HRoad","HExInn","H1Run","HvRHP","HvLHP","Habv500","Hbel500","Hlast10","Hlast20","Hlast30","HGB","HDAY","HNIGHT","HGRASS","HTURF","HExWL","HLuckperG","HOneRunPct","HDAYpct","HDAYdiff","HNIGHTpct","HNIGHTdiff","HInterpct","HInterdiff","HHomepct","HHomediff","HRoadpct","HRoaddiff","HExInnpct","HExInndiff","H1Runpct","H1Rundiff","HvRHPpct","HvRHPdiff","HvLHPpct","HvLHPdiff","Habv500pct","Habv500diff","Hbel500pct","Hbel500diff","Hlast10pct","Hlast10diff","Hlast20pct","Hlast20diff","Hlast30pct","Hlast30diff","HGRASSpct","HGRASSdiff","HTURFpct","HTURFdiff","AB.GP","AB.W","AB.L","AB.ERA","AB.IP","AB.ER","AB.R","AB.BB","AB.SO","AB.BAA","AB.IperG","HB.GP","HB.W","HB.L","HB.ERA","HB.IP","HB.ER","HB.R","HB.BB","HB.SO","HB.BAA","HB.IperG","AP.Age","AP.W","AP.L","AP.W.L.","AP.ERA","AP.G","AP.GS","AP.GF","AP.CG","AP.SHO","AP.SV","AP.IP","AP.H","AP.R","AP.ER","AP.HR","AP.BB","AP.IBB","AP.SO","AP.HBP","AP.BK","AP.WP","AP.BF","AP.ERA.","AP.FIP","AP.WHIP","AP.H9","AP.HR9","AP.BB9","AP.SO9","AP.SO.W","AP.lefty","AP.IPG","AP.WtERA","HP.Age","HP.W","HP.L","HP.W.L.","HP.ERA","HP.G","HP.GS","HP.GF","HP.CG","HP.SHO","HP.SV","HP.IP","HP.H","HP.R","HP.ER","HP.HR","HP.BB","HP.IBB","HP.SO","HP.HBP","HP.BK","HP.WP","HP.BF","HP.ERA.","HP.FIP","HP.WHIP","HP.H9","HP.HR9","HP.BB9","HP.SO9","HP.SO.W","HP.lefty","HP.IPG","HP.WtERA"
"HOU","TEX","Justin Verlander","Nick Martinez","Day","Grass",-210,190,"HOU",-10,FALSE,3,"AL",157,97,60,0.618,2,5.5,4.4,1.1,0,1.1,"95-62",2,"15-5","48-33","49-27","4-4","17-13","77-37","20-23","15-14","82-46","8-2","13-7","20-10",3.5,"32-15","65-45","92-55","5-5","96-61",0.013,0.191,0.681,0.0630000000000001,0.591,-0.027,0.75,0.132,0.593,-0.025,0.645,0.027,0.5,-0.118,0.567,-0.051,0.675,0.0570000000000001,0.465,-0.153,0.517,-0.101,0.641,0.023,0.8,0.182,0.65,0.032,0.667,0.049,0.626,0.00800000000000001,0.5,-0.118,17,"AL",157,76,81,0.484,-5,5,5,0,0.1,0.1,"78-79",-2,"14-6","39-37","37-44","5-5","13-24","54-64","22-17","18-29","58-52","4-6","7-13","12-18",24.5,"20-22","56-59","70-78","6-3","78-79",-0.013,0.236,0.476,-0.00800000000000001,0.487,0.003,0.7,0.216,0.513,0.029,0.457,-0.027,0.5,0.016,0.351,-0.133,0.458,-0.026,0.564,0.08,0.383,-0.101,0.527,0.043,0.4,-0.084,0.35,-0.134,0.4,-0.084,0.473,-0.011,0.667,0.183,156,30,22,4.39,529,258,271,206,643,0.236,3.36942675159236,155,22,25,4.74,497,262,293,222,449,0.268,3.1656050955414,34,14,8,0.636,3.38,32,32,0,0,0,0,200,164,78,75,25,72,4,208,4,0,5,825,132,3.84,1.18,7.4,1.1,3.2,9.4,2.89,FALSE,6.25,3.69800482010673,26,3,7,0.3,5.42,22,17,2,0,0,0,106.1,114,68,64,25,27,0,65,2,0,3,453,87,5.8,1.326,9.6,2.1,2.3,5.5,2.41,FALSE,4.82272727272727,5.12175590882771
"MIA","COL","Adam Conley","Jon Gray","Day","Grass",180,-200,"COL",6,TRUE,20,"NL",157,74,83,0.471,-1,4.7,5,-0.3,-0.2,-0.5,"74-83",0,"9-11","40-37","34-46","6-5","17-22","62-63","12-20","22-39","52-44","6-4","7-13","10-20",26.5,"23-24","51-59","73-82","1-1","73-84",0,0.248,0.489,0.018,0.464,-0.00699999999999995,0.45,-0.021,0.519,0.048,0.425,-0.046,0.545,0.0740000000000001,0.436,-0.035,0.496,0.025,0.375,-0.096,0.361,-0.11,0.542,0.0710000000000001,0.6,0.129,0.35,-0.121,0.333,-0.138,0.471,0,0.5,0.029,9,"NL",158,85,73,0.538,1,5,4.7,0.4,-0.2,0.2,"84-74",1,"10-10","44-33","41-40","2-3","21-14","59-54","26-19","36-33","49-40","4-6","11-9","16-14",16,"35-22","50-51","85-73","0-0","85-73",0.006,0.222,0.614,0.076,0.495,-0.043,0.5,-0.038,0.571,0.0329999999999999,0.506,-0.032,0.4,-0.138,0.6,0.0619999999999999,0.522,-0.016,0.578,0.0399999999999999,0.522,-0.016,0.551,0.013,0.4,-0.138,0.55,0.012,0.533,-0.005,0.538,0,NA,NA,156,29,29,4.35,590,285,305,260,543,0.258,3.75796178343949,157,24,18,4.31,536.2,257,273,204,538,0.251,3.39367088607595,27,7,7,0.5,5.74,20,19,1,0,0,0,100.1,111,68,64,18,39,4,72,7,0,5,449,71,5.42,1.495,10,1.6,3.5,6.5,1.85,TRUE,5.005,5.13062136854211,25,9,4,0.692,3.62,19,19,0,0,0,0,104.1,107,44,42,9,30,0,107,2,1,3,437,138,3.14,1.313,9.2,0.8,2.6,9.2,3.57,FALSE,5.47894736842105,3.88791279887482
"SEA","OAK","Erasmo Ramirez","Kendall Graveman","Day","Grass",105,-115,"OAK",1,TRUE,15,"AL",158,77,81,0.487,2,4.6,4.7,-0.1,0.1,0,"77-81",0,"12-8","40-41","37-40","7-5","26-13","55-59","22-22","20-32","57-49","3-7","8-12","12-18",24,"23-29","54-52","75-76","2-5","77-81",0,0.247,0.442,-0.045,0.509,0.022,0.6,0.113,0.494,0.00700000000000001,0.481,-0.00600000000000001,0.583,0.096,0.667,0.18,0.482,-0.005,0.5,0.013,0.385,-0.102,0.538,0.051,0.3,-0.187,0.4,-0.087,0.4,-0.087,0.497,0.01,0.286,-0.201,22,"AL",157,72,85,0.459,-2,4.6,5.1,-0.6,0.2,-0.4,"70-87",2,"7-13","45-35","27-50","4-9","20-21","54-60","18-25","24-25","48-60","7-3","14-6","17-13",28.5,"33-28","39-57","71-78","1-7","69-88",0.013,0.261,0.541,0.082,0.406,-0.053,0.35,-0.109,0.562,0.103,0.351,-0.108,0.308,-0.151,0.488,0.029,0.474,0.015,0.419,-0.04,0.49,0.031,0.444,-0.015,0.7,0.241,0.7,0.241,0.567,0.108,0.477,0.018,0.125,-0.334,157,30,28,3.98,555.2,246,275,205,530,0.243,3.51392405063291,156,22,26,4.57,536,272,295,199,510,0.248,3.4140127388535,27,5,6,0.455,4.35,36,18,4,0,0,1,126.1,115,65,61,22,29,2,107,2,0,1,515,97,4.46,1.14,8.2,1.6,2.1,7.6,3.69,FALSE,3.50277777777778,4.14172821500642,26,6,4,0.6,4.17,18,18,0,0,0,0,99.1,107,47,46,11,31,1,66,4,0,5,419,102,4.32,1.389,9.7,1,2.8,6,2.13,FALSE,5.50555555555556,4.32453152404689
"SFG","ARI","Jeff Samardzija","Braden Shipley","Day","Grass",132,-142,"ARI",1,TRUE,30,"NL",158,62,96,0.392,-1,3.9,4.8,-0.9,0,-0.9,"64-94",-2,"8-12","36-42","26-54","12-7","22-22","44-66","18-30","36-53","26-43","5-5","8-12","11-19",39,"21-34","41-62","62-96","0-0","63-95",-0.013,0.278,0.382,-0.01,0.398,0.00600000000000001,0.4,0.00800000000000001,0.462,0.07,0.325,-0.067,0.632,0.24,0.5,0.108,0.4,0.00800000000000001,0.375,-0.017,0.404,0.012,0.377,-0.015,0.5,0.108,0.4,0.00800000000000001,0.367,-0.025,0.392,0,NA,NA,6,"NL",158,91,67,0.576,1,5,4.1,0.9,-0.2,0.7,"93-65",-2,"11-6","51-29","40-38","9-3","28-21","67-50","24-17","39-35","52-32","5-5","11-9","21-9",10,"27-21","64-46","91-67","0-0","94-64",-0.013,0.31,0.562,-0.0139999999999999,0.582,0.00600000000000001,0.647,0.0710000000000001,0.638,0.0620000000000001,0.513,-0.0629999999999999,0.75,0.174,0.571,-0.005,0.573,-0.003,0.585,0.00900000000000001,0.527,-0.0489999999999999,0.619,0.043,0.5,-0.076,0.55,-0.0259999999999999,0.7,0.124,0.576,0,NA,NA,155,21,23,4.34,480.2,232,250,214,442,0.258,3.03924050632911,156,25,17,3.87,479.2,206,232,184,471,0.241,3.03291139240506,32,9,15,0.375,4.51,31,31,0,1,1,0,201.2,201,106,101,29,31,1,201,6,0,1,826,94,3.58,1.15,9,1.3,1.4,9,6.48,FALSE,6.49032258064516,4.46120569620253,25,0,1,0,5.4,9,2,2,0,0,0,21.2,27,15,13,5,13,1,16,1,0,1,106,90,6.61,1.846,11.2,2.1,5.4,6.6,1.23,FALSE,2.35555555555556,4.70898774362066
"BAL","PIT","Gabriel Ynoa","Chad Kuhl","Night","Grass",115,-125,"PIT",2,TRUE,19,"AL",158,75,83,0.475,-1,4.7,5.2,-0.5,0.3,-0.2,"71-87",4,"8-11","46-35","29-48","12-4","21-19","49-60","26-23","25-46","50-37","3-7","5-15","12-18",26,"23-26","52-57","66-76","9-7","71-87",0.025,0.253,0.469,-0.00600000000000001,0.477,0.002,0.421,-0.054,0.568,0.093,0.377,-0.098,0.75,0.275,0.525,0.05,0.45,-0.025,0.531,0.056,0.352,-0.123,0.575,0.1,0.3,-0.175,0.25,-0.225,0.4,-0.075,0.465,-0.00999999999999995,0.562,0.0870000000000001,21,"NL",157,72,85,0.459,3,4.1,4.5,-0.4,-0.1,-0.5,"72-85",0,"9-10","43-37","29-48","8-9","20-23","56-61","16-24","38-48","34-37","4-6","7-13","11-19",28.5,"28-22","44-63","71-83","1-2","71-86",0,0.274,0.56,0.101,0.411,-0.048,0.474,0.015,0.538,0.079,0.377,-0.082,0.471,0.012,0.465,0.00600000000000001,0.479,0.02,0.4,-0.059,0.442,-0.017,0.479,0.02,0.4,-0.059,0.35,-0.109,0.367,-0.092,0.461,0.002,0.333,-0.126,157,30,18,3.88,580.1,250,274,216,494,0.253,3.67151898734177,155,25,27,3.84,524.1,224,244,204,476,0.248,3.33821656050955,24,2,2,0.5,3.41,8,3,2,0,0,0,31.2,34,13,12,3,7,0,23,1,0,0,133,127,3.69,1.295,9.7,0.9,2,6.5,3.29,FALSE,3.9,3.62970930028129,24,7,11,0.389,4.31,30,30,0,0,0,0,152.1,151,78,73,17,71,7,137,5,1,8,657,100,4.3,1.457,8.9,1,4.2,8.1,1.93,FALSE,5.07,4.10918155899302
"WSN","PHI","Tanner Roark","Mark Leiter","Night","Grass",-160,150,"PHI",2,TRUE,4,"NL",157,95,62,0.605,-1,5.1,4.1,0.9,-0.3,0.6,"93-64",2,"10-10","45-32","50-30","7-4","29-21","73-48","22-14","23-19","72-43","6-4","12-8","18-12",5.5,"27-29","68-33","95-62","0-0","95-62",0.013,0.318,0.482,-0.123,0.673,0.0680000000000001,0.5,-0.105,0.584,-0.021,0.625,0.02,0.636,0.031,0.58,-0.025,0.603,-0.002,0.611,0.00600000000000001,0.548,-0.0569999999999999,0.626,0.021,0.6,-0.005,0.6,-0.005,0.6,-0.005,0.605,0,NA,NA,28,"NL",158,63,95,0.399,1,4.2,4.9,-0.7,-0.1,-0.8,"68-90",-5,"5-15","36-41","27-54","7-9","21-36","39-74","24-21","22-43","41-52","5-5","10-10","16-14",38,"26-30","37-65","63-95","0-0","67-91",-0.032,0.361,0.464,0.065,0.363,-0.036,0.25,-0.149,0.468,0.069,0.333,-0.066,0.438,0.039,0.368,-0.031,0.345,-0.054,0.533,0.134,0.338,-0.061,0.441,0.042,0.5,0.101,0.5,0.101,0.533,0.134,0.399,0,NA,NA,154,24,17,4.35,455.2,220,231,154,426,0.254,2.89936305732484,157,22,33,4.26,532.2,252,269,212,528,0.255,3.36835443037975,30,13,10,0.565,4.41,30,29,0,0,0,0,175.2,168,97,86,23,58,5,161,5,1,3,745,101,4.1,1.287,8.6,1.2,3,8.2,2.78,FALSE,5.84,4.38918885974772,26,3,6,0.333,4.69,26,10,5,0,0,0,86.1,82,54,45,17,28,2,79,6,0,3,372,91,5.06,1.274,8.5,1.8,2.9,8.2,2.82,FALSE,3.31153846153846,4.45516780266147
"TBR","NYY","Matt Andriese","Luis Severino","Night","Grass",230,-260,"NYY",5,TRUE,16,"AL",157,76,81,0.484,-2,4.2,4.4,-0.1,0.2,0.1,"76-81",0,"11-9","39-39","37-42","8-6","20-24","58-52","18-29","30-36","46-45","4-6","8-12","14-16",24.5,"26-30","50-51","35-38","41-43","76-81",0,0.28,0.464,-0.02,0.495,0.011,0.55,0.0660000000000001,0.5,0.016,0.468,-0.016,0.571,0.087,0.455,-0.029,0.527,0.043,0.383,-0.101,0.455,-0.029,0.505,0.021,0.4,-0.084,0.4,-0.084,0.467,-0.017,0.479,-0.005,0.488,0.004,8,"AL",157,88,69,0.56,2,5.3,4.1,1.2,0.1,1.3,"97-60",-9,"15-5","48-28","40-41","5-6","17-25","64-47","24-22","26-22","62-47","7-3","14-6","20-10",12.5,"33-26","55-43","82-59","6-10","98-59",-0.057,0.268,0.559,-0.001,0.561,0.001,0.75,0.19,0.632,0.072,0.494,-0.0660000000000001,0.455,-0.105,0.405,-0.155,0.577,0.0169999999999999,0.522,-0.038,0.542,-0.018,0.569,0.0089999999999999,0.7,0.14,0.7,0.14,0.667,0.107,0.582,0.0219999999999999,0.375,-0.185,157,26,31,3.82,525.2,223,242,196,486,0.236,3.34522292993631,155,29,23,3.36,522,195,209,217,634,0.206,3.32484076433121,27,5,4,0.556,4.44,17,16,1,0,0,1,81,85,45,40,15,26,1,73,4,2,3,351,94,4.87,1.37,9.4,1.7,2.9,8.1,2.81,FALSE,4.76470588235294,4.16283434534465,23,13,6,0.684,3.03,30,30,0,0,0,0,187.1,146,72,63,20,50,0,221,6,0,6,761,151,3.08,1.046,7,1,2.4,10.6,4.42,FALSE,6.23666666666667,3.13426345162269
"CHC","STL","John Lackey","Michael Wacha","Night","Grass",-105,-105,"CHC",-4,FALSE,7,"NL",157,88,69,0.56,-1,5.1,4.4,0.7,-0.2,0.5,"89-68",-1,"12-8","46-32","42-37","6-3","24-17","67-55","21-14","33-35","55-34","7-3","13-7","20-10",12.5,"35-36","53-33","87-68","1-1","90-67",-0.006,0.261,0.493,-0.0670000000000001,0.616,0.0559999999999999,0.6,0.0399999999999999,0.59,0.0299999999999999,0.532,-0.028,0.667,0.107,0.585,0.0249999999999999,0.549,-0.011,0.6,0.0399999999999999,0.485,-0.0750000000000001,0.618,0.0579999999999999,0.7,0.14,0.65,0.09,0.667,0.107,0.561,0.001,0.5,-0.0600000000000001,12,"NL",157,82,75,0.522,1,4.8,4.3,0.4,-0.2,0.3,"85-72",-3,"8-12","43-33","39-42","5-8","23-28","63-59","19-16","26-40","56-35","5-5","12-8","18-12",18.5,"26-26","56-49","82-75","0-0","86-71",-0.019,0.325,0.5,-0.022,0.533,0.011,0.4,-0.122,0.566,0.0439999999999999,0.481,-0.041,0.385,-0.137,0.451,-0.071,0.516,-0.00600000000000001,0.543,0.021,0.394,-0.128,0.615,0.093,0.5,-0.022,0.6,0.078,0.6,0.078,0.522,0,NA,NA,155,26,22,3.9,535.2,232,248,255,591,0.223,3.40891719745223,154,21,28,3.9,509.2,221,239,177,510,0.249,3.24331210191083,38,11,11,0.5,4.67,29,29,0,0,0,0,163.2,161,91,85,36,51,3,145,12,1,11,705,93,5.39,1.295,8.9,2,2.8,8,2.84,FALSE,5.62758620689655,4.38101198950918,25,12,8,0.6,4,29,29,0,1,1,0,159.2,163,77,71,16,54,3,150,2,0,5,675,107,3.63,1.359,9.2,0.9,3,8.5,2.78,FALSE,5.48965517241379,3.96143249656551
"MIN","CLE","Adalberto Mejia","Danny Salazar","Night","Grass",150,-165,"CLE",2,TRUE,10,"AL",157,83,74,0.529,5,5.1,4.9,0.2,0.1,0.2,"81-76",2,"13-7","39-39","44-35","3-3","15-17","58-51","25-23","20-29","63-45","6-4","12-8","18-12",17.5,"28-32","55-42","80-71","3-3","81-76",0.013,0.204,0.467,-0.062,0.567,0.0379999999999999,0.65,0.121,0.5,-0.029,0.557,0.028,0.5,-0.029,0.469,-0.0600000000000001,0.532,0.003,0.521,-0.00800000000000001,0.408,-0.121,0.583,0.0539999999999999,0.6,0.071,0.6,0.071,0.6,0.071,0.53,0.001,0.5,-0.029,2,"AL",157,98,59,0.624,-1,5.1,3.5,1.5,-0.1,1.5,"103-54",-5,"6-14","45-31","53-28","4-2","20-14","63-35","35-24","25-22","73-37","7-3","17-3","27-3",2.5,"37-18","61-41","94-56","4-3","105-52",-0.032,0.217,0.673,0.049,0.598,-0.026,0.3,-0.324,0.592,-0.032,0.654,0.03,0.667,0.043,0.588,-0.036,0.643,0.019,0.593,-0.031,0.532,-0.092,0.664,0.04,0.7,0.076,0.85,0.226,0.9,0.276,0.627,0.003,0.571,-0.053,151,23,19,4.46,546.1,271,290,183,461,0.262,3.47834394904459,150,20,21,2.89,473.2,152,170,146,527,0.227,3.0140127388535,24,4,6,0.4,4.48,20,20,0,0,0,0,94.1,105,50,47,13,41,4,82,4,2,2,425,99,4.64,1.548,10,1.2,3.9,7.8,2,TRUE,4.705,4.47081851380042,27,5,6,0.455,4.48,22,18,3,0,0,0,98.1,93,51,49,14,43,0,136,3,0,6,423,102,3.64,1.383,8.5,1.3,3.9,12.4,3.16,FALSE,4.45909090909091,3.73641439876472
"TOR","BOS","Marco Estrada","Rick Porcello","Night","Grass",150,-160,"BOS",3,TRUE,18,"AL",158,75,83,0.475,3,4.3,4.9,-0.5,0.2,-0.3,"71-87",4,"9-11","42-39","33-44","5-14","25-26","58-60","17-23","26-38","49-45","6-4","11-9","15-15",26,"31-27","44-56","29-38","46-45","70-88",0.025,0.323,0.534,0.0590000000000001,0.44,-0.035,0.45,-0.025,0.519,0.044,0.429,-0.046,0.263,-0.212,0.49,0.015,0.492,0.017,0.425,-0.05,0.406,-0.069,0.521,0.046,0.6,0.125,0.55,0.0750000000000001,0.5,0.025,0.433,-0.042,0.505,0.03,5,"AL",157,91,66,0.58,-2,4.9,4.1,0.8,0.1,0.9,"91-66",0,"16-4","46-30","45-36","15-3","22-17","73-47","18-19","26-20","65-46","7-3","14-6","18-12",9.5,"24-23","67-43","78-61","13-5","92-65",0,0.248,0.511,-0.069,0.609,0.029,0.8,0.22,0.605,0.025,0.556,-0.0239999999999999,0.833,0.253,0.564,-0.016,0.608,0.028,0.486,-0.094,0.565,-0.015,0.586,0.00600000000000001,0.7,0.12,0.7,0.12,0.6,0.02,0.561,-0.0189999999999999,0.722,0.142,156,28,26,4.27,580,275,297,207,614,0.241,3.67088607594937,152,29,14,3.03,508.2,171,183,169,552,0.223,3.23694267515924,33,10,8,0.556,4.7,32,32,0,0,0,0,183.2,177,96,96,30,70,0,174,2,0,1,789,98,4.56,1.345,8.7,1.5,3.4,8.5,2.49,FALSE,5.725,4.54097175656669,28,10,17,0.37,4.55,32,32,0,2,0,0,197.2,229,120,100,36,46,1,173,6,0,5,860,99,4.56,1.391,10.4,1.6,2.1,7.9,3.76,FALSE,6.1625,4.06166136837474
